symbol,name,summary,GO_BP,GO_MF,GO_CC
MTCO1P12,MT-CO1 pseudogene 12,,,,
FTH1,ferritin heavy chain 1,"This gene encodes the heavy subunit of ferritin, the major intracellular iron storage protein in prokaryotes and eukaryotes. It is composed of 24 subunits of the heavy and light ferritin chains. Variation in ferritin subunit composition may affect the rates of iron uptake and release in different tissues. A major function of ferritin is the storage of iron in a soluble and nontoxic state. Defects in ferritin proteins are associated with several neurodegenerative diseases. This gene has multiple pseudogenes. Several alternatively spliced transcript variants have been observed, but their biological validity has not been determined. [provided by RefSeq, Jul 2008].",iron ion transport; iron ion transport; intracellular iron ion homeostasis; intracellular iron ion homeostasis; immune response; negative regulation of cell population proliferation; negative regulation of fibroblast proliferation; negative regulation of ferroptosis,ferroxidase activity; ferroxidase activity; iron ion binding; protein binding; ferrous iron binding; ferrous iron binding; ferric iron binding; ferric iron binding; oxidoreductase activity; identical protein binding; metal ion binding; iron ion sequestering activity,extracellular region; nucleus; cytoplasm; cytoplasm; lysosome; autophagosome; cytosol; cytoplasmic vesicle; autolysosome; extracellular exosome; ferritin complex; tertiary granule lumen; ficolin-1-rich granule lumen
ZFC3H1,zinc finger C3H1-type containing,"Predicted to enable metal ion binding activity. Predicted to be involved in RNA processing. Located in nucleus. Part of exosome (RNase complex). [provided by Alliance of Genome Resources, Apr 2022]",RNA processing,protein binding; zinc ion binding; metal ion binding,exosome (RNase complex); extracellular space; nucleus; nucleus; nucleus; nucleolus; MTREC complex
TRNY,tRNA-Tyr,,,,
HLA-B,"major histocompatibility complex, class I, B","HLA-B belongs to the HLA class I heavy chain paralogues. This class I molecule is a heterodimer consisting of a heavy chain and a light chain (beta-2 microglobulin). The heavy chain is anchored in the membrane. Class I molecules play a central role in the immune system by presenting peptides derived from the endoplasmic reticulum lumen. They are expressed in nearly all cells. The heavy chain is approximately 45 kDa and its gene contains 8 exons. Exon 1 encodes the leader peptide, exon 2 and 3 encode the alpha1 and alpha2 domains, which both bind the peptide, exon 4 encodes the alpha3 domain, exon 5 encodes the transmembrane region and exons 6 and 7 encode the cytoplasmic tail. Polymorphisms within exon 2 and exon 3 are responsible for the peptide binding specificity of each class one molecule. Typing for these polymorphisms is routinely done for bone marrow and kidney transplantation. Hundreds of HLA-B alleles have been described. [provided by RefSeq, Jul 2008].","positive regulation of T cell mediated cytotoxicity; positive regulation of T cell mediated cytotoxicity; adaptive immune response; immune system process; antigen processing and presentation of peptide antigen via MHC class I; antigen processing and presentation of endogenous peptide antigen via MHC class Ib; antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-independent; antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-independent; regulation of T cell anergy; defense response; immune response; immune response; immune response; immune response; detection of bacterium; antigen processing and presentation; regulation of interleukin-12 production; regulation of interleukin-6 production; protection from natural killer cell mediated cytotoxicity; innate immune response; regulation of dendritic cell differentiation",signaling receptor binding; signaling receptor binding; protein binding; peptide antigen binding; peptide antigen binding; TAP binding; TAP binding; protein-folding chaperone binding,Golgi membrane; extracellular space; endoplasmic reticulum; endoplasmic reticulum; endoplasmic reticulum membrane; Golgi apparatus; plasma membrane; plasma membrane; plasma membrane; external side of plasma membrane; cell surface; cell surface; cell surface; ER to Golgi transport vesicle membrane; ER to Golgi transport vesicle membrane; membrane; membrane; membrane; secretory granule membrane; phagocytic vesicle membrane; phagocytic vesicle membrane; early endosome membrane; early endosome membrane; MHC class I protein complex; MHC class I protein complex; recycling endosome membrane; recycling endosome membrane; extracellular exosome; lumenal side of endoplasmic reticulum membrane; lumenal side of endoplasmic reticulum membrane
RPL18A,ribosomal protein L18a,"Ribosomes, the organelles that catalyze protein synthesis, consist of a small 40S subunit and a large 60S subunit. Together these subunits are composed of 4 RNA species and approximately 80 structurally distinct proteins. This gene encodes a member of the L18AE family of ribosomal proteins that is a component of the 60S subunit. The encoded protein may play a role in viral replication by interacting with the hepatitis C virus internal ribosome entry site (IRES). This gene is co-transcribed with the U68 snoRNA, located within the third intron. As is typical for genes encoding ribosomal proteins, there are multiple processed pseudogenes of this gene dispersed throughout the genome. [provided by RefSeq, Jul 2012].",cytoplasmic translation; cytoplasmic translation; cytoplasmic translation; cytoplasmic translation; translation; translation; translation,RNA binding; RNA binding; structural constituent of ribosome; structural constituent of ribosome; structural constituent of ribosome; structural constituent of ribosome; structural constituent of ribosome; protein binding,cytoplasm; cytoplasm; cytosol; ribosome; postsynaptic density; membrane; cytosolic large ribosomal subunit; cytosolic large ribosomal subunit; cytosolic large ribosomal subunit; cytosolic large ribosomal subunit; cytosolic large ribosomal subunit; cytosolic large ribosomal subunit; cytosolic ribosome; ribonucleoprotein complex
RN7SL1,RNA component of signal recognition particle 7SL1,"The signal recognition particle (SRP) is a cytoplasmic ribonucleoprotein complex that mediates cotranslational insertion of secretory proteins into the lumen of the endoplasmic reticulum. The SRP consists of 6 polypeptides (e.g., SRP19; MIM 182175) and a 7SL RNA molecule, such as RN7SL1, that is partially homologous to Alu DNA (Ullu and Weiner, 1984 [PubMed 6084597]).[supplied by OMIM, Jul 2008].","SRP-dependent cotranslational protein targeting to membrane, signal sequence recognition",,"signal recognition particle, endoplasmic reticulum targeting"
RPL12,ribosomal protein L12,"Ribosomes, the organelles that catalyze protein synthesis, consist of a small 40S subunit and a large 60S subunit. Together these subunits are composed of 4 RNA species and approximately 80 structurally distinct proteins. This gene encodes a ribosomal protein that is a component of the 60S subunit. The protein belongs to the L11P family of ribosomal proteins. It is located in the cytoplasm. The protein binds directly to the 26S rRNA. This gene is co-transcribed with the U65 snoRNA, which is located in its fourth intron. As is typical for genes encoding ribosomal proteins, there are multiple processed pseudogenes of this gene dispersed through the genome. [provided by RefSeq, Jul 2008].",cytoplasmic translation; cytoplasmic translation; translation; translation; translation,RNA binding; RNA binding; structural constituent of ribosome; structural constituent of ribosome; structural constituent of ribosome; structural constituent of ribosome; protein binding; large ribosomal subunit rRNA binding,cytoplasm; cytoplasm; cytosol; ribosome; focal adhesion; postsynaptic density; postsynaptic density; membrane; cytosolic large ribosomal subunit; cytosolic large ribosomal subunit; cytosolic large ribosomal subunit; cytosolic ribosome; extracellular exosome; ribonucleoprotein complex
ONECUT2,one cut homeobox 2,"This gene encodes a member of the onecut family of transcription factors, which are characterized by a cut domain and an atypical homeodomain. The protein binds to specific DNA sequences and stimulates expression of target genes, including genes involved in melanocyte and hepatocyte differentiation. [provided by RefSeq, Jul 2008].",liver development; regulation of cell-matrix adhesion; epithelial cell development; regulation of transcription by RNA polymerase II; transforming growth factor beta receptor signaling pathway; anatomical structure morphogenesis; animal organ morphogenesis; cell migration; negative regulation of transforming growth factor beta receptor signaling pathway; pancreas development; endocrine pancreas development; cell fate commitment; positive regulation of transcription by RNA polymerase II; positive regulation of transcription by RNA polymerase II; peripheral nervous system neuron development; cilium assembly; mesenchymal stem cell migration; positive regulation of mesenchymal stem cell migration,"RNA polymerase II cis-regulatory region sequence-specific DNA binding; RNA polymerase II cis-regulatory region sequence-specific DNA binding; RNA polymerase II cis-regulatory region sequence-specific DNA binding; DNA-binding transcription factor activity, RNA polymerase II-specific; DNA-binding transcription factor activity, RNA polymerase II-specific; DNA-binding transcription activator activity, RNA polymerase II-specific; DNA binding; DNA-binding transcription factor activity; sequence-specific double-stranded DNA binding",chromatin; nucleus; nucleus; nucleoplasm; actin cytoskeleton
GAPDHP35,glyceraldehyde 3 phosphate dehydrogenase pseudogene 35,,,,
