Filename,Read Count
HP1509101_O5.fastq,3400
AZ_D4.fastq,1021552
HP1504901_P11.fastq,548859
HP1504901_I9.fastq,379523
HP1504101T2D_O12.fastq,2189546
HP1508501T2D_C22.fastq,415954
HP1508501T2D_H3.fastq,1473093
HP1507101_O22.fastq,334163
AZ_E2.fastq,1105424
AZ_C4.fastq,1574779
HP1525301T2D_N20.fastq,413436
HP1502401_A5.fastq,1085596
HP1509101_B15.fastq,14014
HP1504101T2D_A20.fastq,1748483
HP1506401_N24.fastq,1263492
HP1509101_O24.fastq,156855
AZ_A1.fastq,17947
HP1526901T2D_O2.fastq,542952
HP1502401_O5.fastq,433484
HP1525301T2D_O24.fastq,433564
HP1509101_O3.fastq,2693
HP1525301T2D_B12.fastq,383113
HP1506401_O10.fastq,2614756
HP1508501T2D_E17.fastq,918344
HP1506401_O18.fastq,1266224
HP1526901T2D_O3.fastq,628761
HP1504101T2D_O6.fastq,1677806
AZ_B4.fastq,282703
HP1504101T2D_N7.fastq,1005583
AZ_C12.fastq,304833
HP1508501T2D_P1.fastq,1092650
AZ_A8.fastq,880487
HP1504901_K6.fastq,612638
HP1506401_H20.fastq,24827
HP1504101T2D_C12.fastq,921906
AZ_E6.fastq,314537
HP1502401_B11.fastq,664893
HP1507101_N23.fastq,690167
HP1507101_P14.fastq,557831
HP1507101_H21.fastq,706603
HP1504901_P15.fastq,440093
HP1504901_I16.fastq,349384
HP1502401_F17.fastq,1164693
HP1526901T2D_K1.fastq,1067102
HP1502401_E21.fastq,2742833
HP1525301T2D_O7.fastq,219410
HP1504101T2D_J2.fastq,2015204
HP1507101_A4.fastq,1868220
AZ_D7.fastq,1260605
HP1506401_D4.fastq,335973
HP1526901T2D_I12.fastq,888923
HP1508501T2D_N19.fastq,54055
HP1508501T2D_O20.fastq,9211
HP1504101T2D_E16.fastq,1457413
HP1507101_O6.fastq,821923
HP1509101_J2.fastq,38013
HP1525301T2D_N1.fastq,543074
HP1525301T2D_D4.fastq,267823
HP1507101_F1.fastq,1351502
HP1506401_O2.fastq,387082
HP1526901T2D_M3.fastq,1188455
HP1526901T2D_A6.fastq,510898
HP1504901_M9.fastq,171583
HP1506401_A18.fastq,57232
HP1506401_J7.fastq,175677
HP1504101T2D_H23.fastq,2216227
HP1504901_F10.fastq,1085803
HP1526901T2D_P14.fastq,441856
HP1506401_G1.fastq,358884
HP1508501T2D_P5.fastq,59957
HP1509101_O19.fastq,156977
HP1504901_O8.fastq,1170493
HP1525301T2D_F5.fastq,332037
HP1509101_I11.fastq,128959
HP1504101T2D_P14.fastq,1660059
HP1509101_F19.fastq,814699
AZ_H6.fastq,262937
HP1504101T2D_H22.fastq,2201723
HP1507101_O4.fastq,580605
HP1508501T2D_H21.fastq,3917340
HP1502401_N2.fastq,1624115
HP1526901T2D_F2.fastq,431303
HP1526901T2D_C20.fastq,463330
HP1508501T2D_J5.fastq,162292
HP1502401_J24.fastq,2122215
HP1507101_I11.fastq,1071917
HP1526901T2D_P7.fastq,431561
HP1507101_I23.fastq,238397
HP1525301T2D_O12.fastq,414639
HP1509101_P4.fastq,111376
HP1525301T2D_K10.fastq,480185
HP1504901_C1.fastq,114999
HP1502401_I22.fastq,1771301
HP1508501T2D_O5.fastq,4373
HP1525301T2D_M6.fastq,410689
HP1506401_M7.fastq,65881
HP1502401_H12.fastq,2137491
HP1509101_H5.fastq,17598
HP1504901_O3.fastq,367597
HP1502401_O23.fastq,2120736
