directory,filename,read_count
./healthy,AZ_A8.fastq,880487
./healthy,AZ_C10.fastq,1293983
./healthy,AZ_C4.fastq,1574779
./healthy,AZ_D2.fastq,394202
./healthy,AZ_D6.fastq,849266
./healthy,AZ_E7.fastq,2761532
./healthy,AZ_F1.fastq,2954562
./healthy,AZ_F2.fastq,900627
./healthy,AZ_G2.fastq,315420
./healthy,AZ_H11.fastq,1699531
./healthy,AZ_H2.fastq,335021
./healthy,AZ_H6.fastq,262937
./healthy,HP1502401_A10.fastq,2660076
./healthy,HP1502401_A6.fastq,2020764
./healthy,HP1502401_A7.fastq,2506928
./healthy,HP1502401_B1.fastq,1983811
./healthy,HP1502401_B14.fastq,519056
./healthy,HP1502401_B21.fastq,1967025
./healthy,HP1502401_B23.fastq,1612810
./healthy,HP1502401_B24.fastq,1313897
./healthy,HP1502401_B7.fastq,1127436
./healthy,HP1502401_C10.fastq,2238910
./healthy,HP1502401_C18.fastq,1651639
./healthy,HP1502401_C21.fastq,2207873
./healthy,HP1502401_C6.fastq,1167819
./healthy,HP1502401_C7.fastq,1745473
./healthy,HP1502401_D13.fastq,99182
./healthy,HP1502401_D22.fastq,1924892
./healthy,HP1502401_D3.fastq,1685103
./healthy,HP1502401_D6.fastq,2338377
./healthy,HP1502401_D7.fastq,580436
./healthy,HP1502401_E10.fastq,2566980
./healthy,HP1502401_E19.fastq,2118471
./healthy,HP1502401_F16.fastq,1090391
./healthy,HP1502401_F21.fastq,2726627
./healthy,HP1502401_F22.fastq,2367773
./healthy,HP1502401_F24.fastq,1010939
./healthy,HP1502401_F9.fastq,630159
./healthy,HP1502401_G14.fastq,400731
./healthy,HP1502401_G22.fastq,1033144
./healthy,HP1502401_G24.fastq,2802565
./healthy,HP1502401_G4.fastq,2418543
./healthy,HP1502401_G5.fastq,2790857
./healthy,HP1502401_G6.fastq,1195741
./healthy,HP1502401_H11.fastq,1951095
./healthy,HP1502401_H12.fastq,2137491
./healthy,HP1502401_H19.fastq,1678092
./healthy,HP1502401_H22.fastq,1844845
./healthy,HP1502401_I24.fastq,2145471
./healthy,HP1502401_I6.fastq,1809700
./healthy,HP1502401_J10.fastq,3424816
./healthy,HP1502401_J12.fastq,2709198
./healthy,HP1502401_J22.fastq,2100037
./healthy,HP1502401_L10.fastq,2559545
./healthy,HP1502401_M12.fastq,1529498
./healthy,HP1502401_M2.fastq,2472019
./healthy,HP1502401_N1.fastq,2342836
./healthy,HP1502401_N21.fastq,1165594
./healthy,HP1502401_N8.fastq,2831015
./healthy,HP1502401_O16.fastq,1296883
./healthy,HP1504901_A16.fastq,406006
./healthy,HP1504901_A3.fastq,269673
./healthy,HP1504901_B10.fastq,791229
./healthy,HP1504901_B11.fastq,753163
./healthy,HP1504901_B22.fastq,1179698
./healthy,HP1504901_C17.fastq,831475
./healthy,HP1504901_D7.fastq,622178
./healthy,HP1504901_E16.fastq,863090
./healthy,HP1504901_E21.fastq,936855
./healthy,HP1504901_F11.fastq,451409
./healthy,HP1504901_F13.fastq,541151
./healthy,HP1504901_F17.fastq,880065
./healthy,HP1504901_G12.fastq,491928
./healthy,HP1504901_G18.fastq,973492
./healthy,HP1504901_G21.fastq,542483
./healthy,HP1504901_G4.fastq,728348
./healthy,HP1504901_G8.fastq,1019574
./healthy,HP1504901_H17.fastq,831667
./healthy,HP1504901_H18.fastq,913197
./healthy,HP1504901_H22.fastq,1200379
./healthy,HP1504901_H5.fastq,787641
./healthy,HP1504901_J3.fastq,772350
./healthy,HP1504901_J7.fastq,742612
./healthy,HP1504901_K19.fastq,792547
./healthy,HP1504901_K22.fastq,1314131
./healthy,HP1504901_L17.fastq,831998
./healthy,HP1504901_L20.fastq,1268520
./healthy,HP1504901_L22.fastq,1398988
./healthy,HP1504901_L8.fastq,959682
./healthy,HP1504901_N13.fastq,692802
./healthy,HP1504901_N8.fastq,1098534
./healthy,HP1504901_O18.fastq,1132380
./healthy,HP1504901_O20.fastq,1514761
./healthy,HP1504901_O8.fastq,1170493
./healthy,HP1504901_P14.fastq,1641090
./healthy,HP1506401_A15.fastq,136473
./healthy,HP1506401_A17.fastq,2310121
./healthy,HP1506401_A24.fastq,1030680
./healthy,HP1506401_B11.fastq,887931
./healthy,HP1506401_C15.fastq,103512
./healthy,HP1506401_C4.fastq,1741047
./healthy,HP1506401_C8.fastq,486134
./healthy,HP1506401_C9.fastq,438945
./healthy,HP1506401_D13.fastq,719917
./healthy,HP1506401_F11.fastq,1118197
./healthy,HP1506401_F12.fastq,744323
./healthy,HP1506401_F18.fastq,1609894
./healthy,HP1506401_F24.fastq,1223860
./healthy,HP1506401_F8.fastq,1687143
./healthy,HP1506401_F9.fastq,903622
./healthy,HP1506401_G12.fastq,734733
./healthy,HP1506401_G6.fastq,281504
./healthy,HP1506401_G9.fastq,156645
