Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31
AZ_A10 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 6.989536663614569e-05)	(6, 0.00013979073327229137)	(7, 0.00013979073327229137)	(8, 0.00013979073327229137)	(9, 0.00013979073327229137)	(10, 0.00027958146654458274)	(11, 0.00034947683318072844)	(12, 0.0006290582997253112)	(13, 0.0006290582997253112)	(14, 0.0006989536663614569)	(15, 0.0006989536663614569)	(16, 0.0008387443996337483)	(17, 0.0009086397662698939)	(18, 0.0009785351329060397)	(19, 0.0012581165994506225)	(20, 0.0012581165994506225)	(21, 0.0016774887992674966)	(22, 0.002306547098992808)	(23, 0.003984035898260304)	(24, 0.006709955197069986)	(25, 0.010973572561874874)	(26, 0.01999007485793767)	(27, 0.0688469361366035)	(28, 0.16341536719530864)	(29, 0.26825841714952714)	(30, 0.3746391651697409)	(31, 0.6038959677362987)	(32, 0.9204520832314026)
AZ_A10 - polya	(1, 0.04340502268104647)	(2, 0.046899791012853756)	(3, 0.05123330374429479)	(4, 0.05745399137491176)	(5, 0.06961578516960111)	(6, 0.07793333379930245)	(7, 0.08513255656282545)	(8, 0.0924016746929846)	(9, 0.10002026965632448)	(10, 0.12532239237860923)	(11, 0.1552376092988796)	(12, 0.19423922388184886)	(13, 0.23198272186536756)	(14, 0.2811890599772141)	(15, 0.337245144019403)	(16, 0.3945593446610424)	(17, 0.44243767080680224)	(18, 0.499891662181714)	(19, 0.5417589867967653)	(20, 0.5876103473100768)	(21, 0.6485591070167959)	(22, 0.6958782702294665)	(23, 0.7428479566089564)	(24, 0.8149799749774588)	(25, 0.8713855358528283)	(26, 0.927371724528381)	(27, 0.9646958503120828)	(28, 1.0078212915265847)	(29, 1.040602218478937)	(30, 1.076598332296552)	(31, 1.1128740275807116)	(32, 1.145654954533064)
AZ_A11 - nextera_transposase_sequence	(1, 0.00018085079447754013)	(2, 0.00018085079447754013)	(3, 0.00018085079447754013)	(4, 0.00018085079447754013)	(5, 0.00018085079447754013)	(6, 0.00018085079447754013)	(7, 0.00018085079447754013)	(8, 0.00018085079447754013)	(9, 0.00027127619171631024)	(10, 0.00027127619171631024)	(11, 0.00036170158895508026)	(12, 0.00045212698619385034)	(13, 0.00045212698619385034)	(14, 0.00045212698619385034)	(15, 0.00045212698619385034)	(16, 0.00045212698619385034)	(17, 0.0005425523834326205)	(18, 0.0005425523834326205)	(19, 0.0007234031779101605)	(20, 0.0009946793696264708)	(21, 0.001085104766865241)	(22, 0.0017180825475366314)	(23, 0.0032553143005957224)	(24, 0.006329777806713905)	(25, 0.01193615243551765)	(26, 0.023420177884841447)	(27, 0.07423925113303023)	(28, 0.15218594355285003)	(29, 0.23528688361527972)	(30, 0.32426547449822946)	(31, 0.48052056092682416)	(32, 0.693743647615844)
AZ_A11 - polya	(1, 0.03770739064856712)	(2, 0.04105313034640161)	(3, 0.04557440020834012)	(4, 0.05109034943990509)	(5, 0.06411160664228797)	(6, 0.0746009527219853)	(7, 0.0815637083093706)	(8, 0.09096794962220268)	(9, 0.09946793696264708)	(10, 0.12080833071099681)	(11, 0.1531806229224765)	(12, 0.19351035009096795)	(13, 0.23148901693125137)	(14, 0.2797761790567546)	(15, 0.3295101475380781)	(16, 0.37924411601940167)	(17, 0.4215632019271461)	(18, 0.4785312021875712)	(19, 0.5198556087256891)	(20, 0.5606374628803744)	(21, 0.604855482130133)	(22, 0.6484405235992202)	(23, 0.6893128031511443)	(24, 0.7337116731953803)	(25, 0.7833552162794651)	(26, 0.8344455657193702)	(27, 0.8676316865059989)	(28, 0.9095890708247881)	(29, 0.9420517884335066)	(30, 0.9791262013014023)	(31, 1.01312615066318)	(32, 1.0471261000249574)
AZ_A6 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 7.83496431173756e-05)	(13, 7.83496431173756e-05)	(14, 7.83496431173756e-05)	(15, 0.0002350489293521268)	(16, 0.0003133985724695024)	(17, 0.000391748215586878)	(18, 0.000391748215586878)	(19, 0.000391748215586878)	(20, 0.0006267971449390048)	(21, 0.0007051467880563804)	(22, 0.0012535942898780096)	(23, 0.002428838936638644)	(24, 0.0057195239475684185)	(25, 0.01120399896578471)	(26, 0.018803914348170143)	(27, 0.06424670735624799)	(28, 0.14486849012402747)	(29, 0.25032710976001504)	(30, 0.36330729513527066)	(31, 0.5972593294837542)	(32, 0.9232721944951541)
AZ_A6 - polya	(1, 0.10263803248376203)	(2, 0.11117814358355597)	(3, 0.1204234014714063)	(4, 0.13264594579771688)	(5, 0.15677763587786858)	(6, 0.16970532699223556)	(7, 0.18122272453048976)	(8, 0.19156487742198333)	(9, 0.20308227496023756)	(10, 0.24217874687580798)	(11, 0.2810401698620263)	(12, 0.34183949292110977)	(13, 0.4030305641957801)	(14, 0.47338854371518335)	(15, 0.5552639207728409)	(16, 0.6279723895857654)	(17, 0.6930809430163045)	(18, 0.7646925168255858)	(19, 0.8254918398846693)	(20, 0.8909137918876779)	(21, 0.9569625410356256)	(22, 1.0122773890764927)	(23, 1.0740169078529846)	(24, 1.1515047048960692)	(25, 1.2285224040804494)	(26, 1.2995071807447918)	(27, 1.3529416373508418)	(28, 1.4088049328935306)	(29, 1.4544827748309606)	(30, 1.5063502385746632)	(31, 1.5548486676643187)	(32, 1.6017017542485095)
AZ_A7 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 2.952958776104894e-05)	(5, 2.952958776104894e-05)	(6, 2.952958776104894e-05)	(7, 2.952958776104894e-05)	(8, 2.952958776104894e-05)	(9, 0.00011811835104419576)	(10, 0.0001476479388052447)	(11, 0.00020670711432734258)	(12, 0.0002362367020883915)	(13, 0.0002362367020883915)	(14, 0.0002657662898494404)	(15, 0.0002952958776104894)	(16, 0.00035435505313258724)	(17, 0.0003838846408936362)	(18, 0.000472473404176783)	(19, 0.0005315325796988808)	(20, 0.0007382396940262234)	(21, 0.0010630651593977617)	(22, 0.0017127160901408383)	(23, 0.0025395445474502088)	(24, 0.004931441156095172)	(25, 0.008179695809810556)	(26, 0.015325856047984398)	(27, 0.06218931182476906)	(28, 0.1588101229789212)	(29, 0.27621976391685177)	(30, 0.4100773852376866)	(31, 0.6390498087368601)	(32, 0.952181557355023)
AZ_A7 - polya	(1, 0.020906948134822648)	(2, 0.023771318147644396)	(3, 0.02693098403807663)	(4, 0.031242303851189777)	(5, 0.03936294048547823)	(6, 0.04396955617620187)	(7, 0.05164724899407459)	(8, 0.05560421375405515)	(9, 0.059974592742690395)	(10, 0.07476891621097591)	(11, 0.09092160071626969)	(12, 0.11244867019407435)	(13, 0.13873000330140792)	(14, 0.16731464425410328)	(15, 0.20233673533870733)	(16, 0.23248644444273828)	(17, 0.25986037229723064)	(18, 0.29148656078931406)	(19, 0.32036649761961994)	(20, 0.3545027010713925)	(21, 0.38453429182437926)	(22, 0.41167198297678326)	(23, 0.4463987781837768)	(24, 0.4716761053072347)	(25, 0.5048968915384148)	(26, 0.531621168462164)	(27, 0.5532072971154908)	(28, 0.5781007395980551)	(29, 0.5989486285573556)	(30, 0.6357424949076226)	(31, 0.6610198220310805)	(32, 0.7093006980203955)
AZ_A8 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.00011357351102287711)	(5, 0.00011357351102287711)	(6, 0.00011357351102287711)	(7, 0.00011357351102287711)	(8, 0.00011357351102287711)	(9, 0.00045429404409150844)	(10, 0.00045429404409150844)	(11, 0.00045429404409150844)	(12, 0.0007950145771601398)	(13, 0.0007950145771601398)	(14, 0.0007950145771601398)	(15, 0.0009085880881830169)	(16, 0.0009085880881830169)	(17, 0.0009085880881830169)	(18, 0.0009085880881830169)	(19, 0.001022161599205894)	(20, 0.0011357351102287711)	(21, 0.0015900291543202796)	(22, 0.0019307496873889108)	(23, 0.0036343523527320675)	(24, 0.00783657226057852)	(25, 0.014878129943996902)	(26, 0.03032412744310819)	(27, 0.09415244063796513)	(28, 0.20761237814981937)	(29, 0.3303853435655495)	(30, 0.4644020865725445)	(31, 0.7100615909150277)	(32, 1.0616851810418553)
AZ_A8 - polya	(1, 0.040318596413121376)	(2, 0.044975110365059336)	(3, 0.05156237400438621)	(4, 0.05769534359962157)	(5, 0.06973413576804655)	(6, 0.07666211994044204)	(7, 0.08268151602465454)	(8, 0.09222169095057621)	(9, 0.10062613076626913)	(10, 0.12129650977243275)	(11, 0.148781299439969)	(12, 0.18626055807751846)	(13, 0.22714702204575424)	(14, 0.2854102332004902)	(15, 0.3403798125355627)	(16, 0.3904657308966515)	(17, 0.42646853389090356)	(18, 0.47257937936619165)	(19, 0.5123301082241987)	(20, 0.5560559099680064)	(21, 0.5961473593590819)	(22, 0.6761031111191874)	(23, 0.7202832069070867)	(24, 0.7799093001940971)	(25, 0.8221586462946074)	(26, 0.8692916533691014)	(27, 0.914039616712115)	(28, 0.9527681839709161)	(29, 0.9794579590612922)	(30, 1.0159150560996357)	(31, 1.0452170219435382)	(32, 1.0778126196071038)
AZ_B1 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 3.9922645881340315e-05)	(8, 3.9922645881340315e-05)	(9, 0.00011976793764402095)	(10, 0.00011976793764402095)	(11, 0.00019961322940670158)	(12, 0.0002395358752880419)	(13, 0.0002395358752880419)	(14, 0.0002794585211693822)	(15, 0.0003193811670507225)	(16, 0.00039922645881340315)	(17, 0.0005189943964574241)	(18, 0.0007186076258641256)	(19, 0.0009182208552708272)	(20, 0.00127752466820289)	(21, 0.001636828481134953)	(22, 0.0031938116705072252)	(23, 0.00503025338104888)	(24, 0.009182208552708272)	(25, 0.014931069559621278)	(26, 0.02810554270046358)	(27, 0.08898757766950756)	(28, 0.21178963640051038)	(29, 0.3506006761299306)	(30, 0.4906493178816725)	(31, 0.7968560117915527)	(32, 1.1803928707735891)
AZ_B1 - polya	(1, 0.04056140821544176)	(2, 0.046430037159998785)	(3, 0.051100986728115604)	(4, 0.05780799123618078)	(5, 0.07425612133929299)	(6, 0.08391740164257734)	(7, 0.09425736692584448)	(8, 0.10168297905977378)	(9, 0.11429853515827733)	(10, 0.1424839231505036)	(11, 0.18276587284477597)	(12, 0.2431289134173625)	(13, 0.2881616579715144)	(14, 0.36141971316377386)	(15, 0.43643436477481234)	(16, 0.5182358661856786)	(17, 0.5764031612347915)	(18, 0.6375646547250048)	(19, 0.701281197551624)	(20, 0.7615643928324478)	(21, 0.8158192685851894)	(22, 0.8725493483825739)	(23, 0.935786819458617)	(24, 1.0110010842990622)	(25, 1.0776719029209005)	(26, 1.1429853515827733)	(27, 1.1896948472639415)	(28, 1.2431512700990561)	(29, 1.2753688453252976)	(30, 1.3170880102712983)	(31, 1.351181949853963)	(32, 1.3910247504435407)
AZ_B10 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.00010021576454105689)	(10, 0.00010021576454105689)	(11, 0.00020043152908211378)	(12, 0.00030064729362317067)	(13, 0.00030064729362317067)	(14, 0.00030064729362317067)	(15, 0.00030064729362317067)	(16, 0.00030064729362317067)	(17, 0.00030064729362317067)	(18, 0.00030064729362317067)	(19, 0.00040086305816422756)	(20, 0.0005010788227052845)	(21, 0.0008017261163284551)	(22, 0.0024051783489853653)	(23, 0.0037079832880191053)	(24, 0.007015103517873982)	(25, 0.010723086805893088)	(26, 0.019341642556423982)	(27, 0.07075232976598617)	(28, 0.17808341358945812)	(29, 0.3070611025537983)	(30, 0.43413469199185845)	(31, 0.7158412061167694)	(32, 1.1051794513587754)
AZ_B10 - polya	(1, 0.06654326765526178)	(2, 0.07235578199864308)	(3, 0.08017261163284552)	(4, 0.08989354079332804)	(5, 0.10933539911429307)	(6, 0.1213612908592199)	(7, 0.1329863195459825)	(8, 0.14571372164269672)	(9, 0.1597439286784447)	(10, 0.19872786108491583)	(11, 0.24392517089293247)	(12, 0.31577987406887026)	(13, 0.3709987603309926)	(14, 0.45487935525185724)	(15, 0.5361543402946544)	(16, 0.6207364455673064)	(17, 0.6928917960368673)	(18, 0.7747680756669109)	(19, 0.8397078910895157)	(20, 0.9100593577973377)	(21, 0.9804108245051596)	(22, 1.047956249805832)	(23, 1.118307716513654)	(24, 1.1935697556839877)	(25, 1.2668274795635002)	(26, 1.338581966974897)	(27, 1.3960056000569225)	(28, 1.4567363533688031)	(29, 1.4995284848278343)	(30, 1.5509391720373966)	(31, 1.597539502548988)	(32, 1.6422357335342994)
AZ_B11 - nextera_transposase_sequence	(1, 0.0)	(2, 1.9500015697512636e-05)	(3, 1.9500015697512636e-05)	(4, 3.900003139502527e-05)	(5, 3.900003139502527e-05)	(6, 3.900003139502527e-05)	(7, 3.900003139502527e-05)	(8, 3.900003139502527e-05)	(9, 0.00023400018837015164)	(10, 0.00035100028255522745)	(11, 0.000429000345345278)	(12, 0.0006045004866228917)	(13, 0.0006045004866228917)	(14, 0.0006045004866228917)	(15, 0.0006240005023204043)	(16, 0.0006435005180179171)	(17, 0.0007020005651104549)	(18, 0.0007605006122029928)	(19, 0.0008385006749930434)	(20, 0.0010530008476656823)	(21, 0.0012480010046408087)	(22, 0.0015990012871960361)	(23, 0.0023790019150965415)	(24, 0.004212003390662729)	(25, 0.006649505352851809)	(26, 0.012168009795247885)	(27, 0.05132404131585326)	(28, 0.1280956031169605)	(29, 0.21875117609469677)	(30, 0.3212627586165207)	(31, 0.5253109228752929)	(32, 0.8035176468317057)
AZ_B11 - polya	(1, 0.014683511820227015)	(2, 0.0160485129190529)	(3, 0.018466514865544466)	(4, 0.02100151690622111)	(5, 0.026442021285827136)	(6, 0.02987402404858936)	(7, 0.0322530259636859)	(8, 0.03556802863226305)	(9, 0.03816153072003223)	(10, 0.047385038144955705)	(11, 0.05865604721811801)	(12, 0.07435355985461568)	(13, 0.09297607484574025)	(14, 0.1177410947815813)	(15, 0.14426111613019849)	(16, 0.16900663605034202)	(17, 0.18786315122983674)	(18, 0.21214067077323998)	(19, 0.2314846863451725)	(20, 0.25441670480544737)	(21, 0.2791427247098934)	(22, 0.3093872490567355)	(23, 0.33329426830188597)	(24, 0.3649622937946465)	(25, 0.3927693161792995)	(26, 0.418996837292454)	(27, 0.44038835451262537)	(28, 0.4620528719525619)	(29, 0.4798758863000885)	(30, 0.5004289028452668)	(31, 0.5208844193119575)	(32, 0.5421004363908513)
AZ_B12 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 2.7364393013979922e-05)	(9, 8.209317904193976e-05)	(10, 0.00024627953712581926)	(11, 0.00035573710918173897)	(12, 0.0009030249694613374)	(13, 0.0009303893624753173)	(14, 0.0009303893624753173)	(15, 0.000985118148503277)	(16, 0.0010124825415172571)	(17, 0.001039846934531237)	(18, 0.0011766688996011367)	(19, 0.0013682196506989961)	(20, 0.0015324060087828755)	(21, 0.0019155075109785944)	(22, 0.003174269589621671)	(23, 0.004487760454292707)	(24, 0.008017767153096118)	(25, 0.012970722288626483)	(26, 0.022219887127351696)	(27, 0.08261310250920538)	(28, 0.18865012543837759)	(29, 0.30713794718891063)	(30, 0.44335789561250266)	(31, 0.7156062417085889)	(32, 1.1126362199484237)
