Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
AZ_A10	0.4003606600918425	0.9396034136897065
AZ_A11	0.4004940843705126	0.9191741629320976
AZ_A6	0.583234743365744	1.5737309316556063
AZ_A7	0.3418935670974246	1.7694128986420525
AZ_A8	0.377064056595952	0.8995022073011867
AZ_B1	0.4496886832074173	3.8854315877555643
AZ_B10	0.5177146396190999	1.699559150851784
AZ_B11	0.2317966865963327	0.5115634118085465
AZ_B12	0.30620755782643533	0.6627108700125657
AZ_B2	0.32463235790582423	0.7426437821560233
AZ_B3	0.2628756361305294	0.5741535646420066
AZ_B5	0.29577545645882874	0.644835775084516
AZ_B8	0.33864458126649555	0.7499644827386109
AZ_B9	0.25142974123099304	1.5426613876221213
AZ_C1	0.3492099398233	0.7631657416951785
AZ_C10	0.3899587552541262	0.9778335573187593
AZ_C11	0.5198749936527427	7.497103342581094
AZ_C2	0.2866556433339457	0.6184334619388818
AZ_C3	0.33034848383823606	0.7242765687365957
AZ_C4	0.3679881430981744	1.6766162109095941
AZ_C5	0.30568010644191274	0.6513095953703603
AZ_C8	0.3141206418582454	0.6811705427713557
AZ_C9	0.19428994659220347	0.44000442286057284
AZ_D12	0.5753644148034085	2.8141874668359117
AZ_D4	0.24198474478049087	0.5580724231365608
AZ_D6	0.30591122216125455	0.6193583635751343
AZ_D7	0.27970696609961093	0.8157194363024103
AZ_D8	0.305278946430313	1.6014743518602594
AZ_E12	0.4298809768528915	0.9680511318616576
AZ_E2	0.2689465761553938	0.5635846516811649
AZ_E3	0.34515355838802897	0.763871777065926
AZ_E4	0.3448832251353476	0.7367304411113438
AZ_E5	0.30674346358708593	0.6990843360469466
AZ_E7	0.2968279925780328	0.9335397887839068
AZ_E8	0.26710942769677787	0.5259170860789706
AZ_F1	0.3262074040077683	0.7892201957515192
AZ_F2	0.3327681715071833	0.6813031365926183
AZ_F4	0.301648936787766	0.650951650678288
AZ_F5	0.6765191251107482	2.1014552237749764
AZ_F6	0.36809723034127506	1.6979297239091973
AZ_F7	0.2724908773982492	0.8031270814412083
AZ_F8	0.2992603016361086	0.5857930659071047
AZ_G1	0.4124322785722197	0.7936016425833052
AZ_G3	0.39724223639241907	0.7657401555997523
AZ_G5	0.5687435118850771	2.2155530836120167
AZ_G6	0.35795975356079673	0.7968338067819023
AZ_H10	0.38807315511065776	0.8575088360177432
AZ_H11	0.4397095433975608	1.0997739964731446
HP1502401_A10	0.7339639920062434	2.9568328122955885
HP1502401_A14	0.12975367309158634	0.22371322946825226
HP1502401_A17	0.37232834691153915	0.6981256100233054
HP1502401_A18	0.2949466470422094	3.1122627733598818
HP1502401_A2	0.31107649519444847	4.184238687186866
HP1502401_A22	0.3203444414270507	0.6291068343178075
HP1502401_A24	0.3167788057946838	6.980054035300906
HP1502401_A4	0.27032276410410416	1.382602428916639
HP1502401_A5	3.059701767508355	9.115361515701974
HP1502401_A6	0.3999972287709005	1.9928601261701022
HP1502401_A7	0.45294479937198034	1.9247461434871684
HP1502401_B1	0.6126087616209407	5.455560030668244
HP1502401_B10	1.437092081811927	3.382647227885787
HP1502401_B16	0.5434375460148057	2.904303842812132
HP1502401_B17	0.24112842345448193	0.7488326270438022
HP1502401_B18	0.425453977882383	2.1651097788756655
HP1502401_B20	0.3849850130153889	0.8149262175555834
HP1502401_B21	0.2894218426303682	0.8597755493702418
HP1502401_B23	0.3762997501255573	2.1983370638822923
HP1502401_B24	0.4150249220448787	2.78256210342211
HP1502401_B5	0.1328298409950721	0.10058213393268467
HP1502401_B7	0.511869409882246	3.7528516031065173
HP1502401_B8	0.3598393765053505	4.667383099700959
HP1502401_C1	0.21999455411518165	0.5889712435689979
HP1502401_C10	0.5435234109455047	3.536899652062834
HP1502401_C14	0.27391915195049554	3.28107221278752
HP1502401_C16	0.2847071484795109	0.5767686248353467
