Sample	Unique Reads	Duplicate Reads
AZ_A10	895016.0	535694.0
AZ_A11	686892.0	418992.0
AZ_A6	807627.0	468703.0
AZ_A7	1262977.0	2123457.0
AZ_A8	566727.0	313760.0
AZ_B1	1318421.0	1186423.0
AZ_B10	660346.0	337501.0
AZ_B11	2497723.0	2630478.0
AZ_B12	1869619.0	1784765.0
AZ_B2	1044132.0	436928.0
AZ_B3	2333904.0	2296042.0
AZ_B5	1985934.0	1724313.0
AZ_B8	1401225.0	1097560.0
AZ_B9	540950.0	377398.0
AZ_C1	1762663.0	1349505.0
AZ_C10	788877.0	505106.0
AZ_C11	1107050.0	1059240.0
AZ_C2	1192048.0	849077.0
AZ_C3	1932517.0	1232020.0
AZ_C4	893283.0	681496.0
AZ_C5	1526744.0	1146639.0
AZ_C8	1233570.0	937252.0
AZ_C9	827622.0	311912.0
AZ_D12	590144.0	370986.0
AZ_D4	699288.0	322264.0
AZ_D6	616954.0	232312.0
AZ_D7	732160.0	528445.0
AZ_D8	783929.0	405475.0
AZ_E12	1156377.0	950020.0
AZ_E2	729629.0	375795.0
AZ_E3	667641.0	448384.0
AZ_E4	1004217.0	452218.0
AZ_E5	1224651.0	921442.0
AZ_E7	1596362.0	1165170.0
AZ_E8	1158066.0	769234.0
AZ_F1	1769700.0	1184862.0
AZ_F2	613154.0	287473.0
AZ_F4	1183698.0	711220.0
AZ_F5	963649.0	449467.0
AZ_F6	2019932.0	2733975.0
AZ_F7	1985957.0	2036196.0
AZ_F8	971755.0	560356.0
AZ_G1	974690.0	704616.0
AZ_G3	600281.0	345993.0
AZ_G5	754295.0	376619.0
AZ_G6	1409340.0	1409692.0
AZ_H10	1260779.0	847071.0
AZ_H11	947172.0	752359.0
HP1502401_A10	1196834.0	1463242.0
HP1502401_A14	631191.0	441611.0
HP1502401_A17	758238.0	496837.0
HP1502401_A18	1280575.0	1134099.0
HP1502401_A2	1494202.0	1719477.0
HP1502401_A22	1472574.0	1057203.0
HP1502401_A24	1046195.0	1179017.0
HP1502401_A4	1359898.0	1147475.0
HP1502401_A5	206051.0	879545.0
HP1502401_A6	978671.0	1042093.0
HP1502401_A7	1229627.0	1277301.0
HP1502401_B1	910880.0	1072931.0
HP1502401_B10	744726.0	845360.0
HP1502401_B16	536710.0	624601.0
HP1502401_B17	805794.0	722852.0
HP1502401_B18	876223.0	860040.0
HP1502401_B20	604095.0	445816.0
HP1502401_B21	1047803.0	919222.0
HP1502401_B23	894443.0	718367.0
HP1502401_B24	714805.0	599092.0
HP1502401_B5	836811.0	595849.0
HP1502401_B7	492540.0	634896.0
HP1502401_B8	1236677.0	1289728.0
HP1502401_C1	493486.0	340171.0
HP1502401_C10	1074232.0	1164678.0
HP1502401_C14	768478.0	758980.0
HP1502401_C16	721298.0	652043.0
HP1502401_C18	735305.0	916334.0
HP1502401_C20	833517.0	965342.0
HP1502401_C21	1095697.0	1112176.0
HP1502401_C4	869080.0	684753.0
HP1502401_C5	1196711.0	1260234.0
HP1502401_C6	567723.0	600096.0
HP1502401_C7	734242.0	1011231.0
HP1502401_C8	715230.0	549399.0
HP1502401_D1	691726.0	871145.0
HP1502401_D10	1514471.0	1557270.0
HP1502401_D12	1260523.0	1031861.0
HP1502401_D16	864954.0	681337.0
HP1502401_D17	667286.0	656278.0
HP1502401_D18	1398105.0	1016705.0
HP1502401_D2	1426476.0	1903631.0
HP1502401_D20	1128720.0	1030974.0
HP1502401_D22	965521.0	959371.0
HP1502401_D24	1075212.0	884087.0
HP1502401_D3	975134.0	709969.0
HP1502401_D4	1402181.0	1227019.0
HP1502401_D5	1494553.0	2110059.0
HP1502401_D6	1196501.0	1141876.0
HP1502401_D8	1110187.0	791716.0
HP1502401_E10	1211775.0	1355205.0
HP1502401_E11	1209725.0	1128841.0
HP1502401_E14	725968.0	369315.0
HP1502401_E16	575433.0	407601.0
HP1502401_E17	968828.0	769964.0
HP1502401_E19	1059868.0	1058603.0
HP1502401_E2	1106184.0	1360767.0
HP1502401_E20	1337448.0	1192012.0
HP1502401_E21	1481766.0	1261067.0
HP1502401_E22	514265.0	491079.0
HP1502401_E23	1044518.0	1410991.0
HP1502401_E24	616802.0	487789.0
HP1502401_E3	585708.0	917816.0
HP1502401_E5	1345302.0	1128082.0
HP1502401_E6	507752.0	260931.0
HP1502401_E7	1129516.0	921583.0
HP1502401_E9	761342.0	550768.0
HP1502401_F10	1175852.0	1315460.0
HP1502401_F12	1512360.0	1453774.0
HP1502401_F15	737987.0	456339.0
HP1502401_F16	688959.0	401432.0
HP1502401_F17	753801.0	410892.0
HP1502401_F18	936754.0	815326.0
HP1502401_F19	1241633.0	985602.0
HP1502401_F20	1341995.0	1006011.0
HP1502401_F21	1329198.0	1397429.0
HP1502401_F22	1097018.0	1270755.0
HP1502401_F23	1339700.0	976405.0
HP1502401_F24	559410.0	451529.0
HP1502401_G10	693591.0	812546.0
HP1502401_G11	1428565.0	1272082.0
HP1502401_G12	383923.0	374765.0
HP1502401_G18	1267670.0	1325231.0
HP1502401_G2	185837.0	716045.0
HP1502401_G20	1233098.0	926917.0
HP1502401_G21	177007.0	610942.0
HP1502401_G22	661295.0	371849.0
HP1502401_G23	1449904.0	1109855.0
HP1502401_G24	1270877.0	1531688.0
HP1502401_G4	1039296.0	1379247.0
HP1502401_G5	1193799.0	1597058.0
