Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
AZ_A10	(1.0, 53.65519184025555)	(2.0, 11.0862085311144)	(3.0, 4.212088553873563)	(4.0, 2.325247067974782)	(5.0, 1.5137087583312436)	(6.0, 1.1514059792088978)	(7.0, 0.9253569622470061)	(8.0, 0.8202605287902216)	(9.0, 0.6662346745549681)	('>10', 9.356350849289099)	('>50', 3.6386212910249434)	('>100', 6.727769224212597)	('>500', 1.9146568081237894)	('>1k', 1.2511040979900425)	('>5k', 0.7557948330088765)	('>10k+', 0.0)
AZ_A11	(1.0, 53.79272100569171)	(2.0, 10.584047235601679)	(3.0, 3.786221073714555)	(4.0, 2.09540328380737)	(5.0, 1.3992024389019455)	(6.0, 1.0206648849064208)	(7.0, 0.7837668705511354)	(8.0, 0.6698741149000538)	(9.0, 0.5847229185703982)	('>10', 8.28125499416061)	('>50', 3.704466501962764)	('>100', 9.53381159960787)	('>500', 2.247607725876032)	('>1k', 1.516235351747468)	('>5k', 0.0)	('>10k+', 0.0)
AZ_A6	(1.0, 54.566999104218475)	(2.0, 11.039184732462)	(3.0, 4.105577937058761)	(4.0, 2.146132839642111)	(5.0, 1.4697252563616587)	(6.0, 1.0858647884309391)	(7.0, 0.8906828797573316)	(8.0, 0.7190370978094704)	(9.0, 0.63411942092885)	('>10', 8.216231260300454)	('>50', 3.768316472238619)	('>100', 7.472475606399461)	('>500', 1.3599586894145004)	('>1k', 1.4147073018893344)	('>5k', 1.1109866130880217)	('>10k+', 0.0)
AZ_A7	(1.0, 30.3008851561825)	(2.0, 7.30091865691039)	(3.0, 3.3246402957206613)	(4.0, 2.1355286271593608)	(5.0, 1.6001074679408214)	(6.0, 1.2366884139703362)	(7.0, 1.080036635438163)	(8.0, 0.9257079972891377)	(9.0, 0.7928646421555927)	('>10', 12.577815835434134)	('>50', 5.840584230587041)	('>100', 16.53936964086592)	('>500', 7.0536808924026095)	('>1k', 7.69066407039682)	('>5k', 0.9558027092808378)	('>10k+', 0.644704728265693)
AZ_A8	(1.0, 55.228290322104414)	(2.0, 11.470595883362884)	(3.0, 4.428721578420775)	(4.0, 2.339382908312635)	(5.0, 1.4704458240491962)	(6.0, 1.1085819345186414)	(7.0, 0.8901261623838983)	(8.0, 0.7417304888890557)	(9.0, 0.5947324410322221)	('>10', 9.795071843535883)	('>50', 3.3189841611907154)	('>100', 6.118784208192001)	('>500', 1.2100201190926003)	('>1k', 1.2845321249150763)	('>5k', 0.0)	('>10k+', 0.0)
AZ_B1	(1.0, 42.85491497169806)	(2.0, 11.863688333972988)	(3.0, 5.123163408923233)	(4.0, 2.766505465401006)	(5.0, 1.8545668433213716)	(6.0, 1.264752312302468)	(7.0, 1.0015789511326383)	(8.0, 0.7976744627434674)	(9.0, 0.7185432973545711)	('>10', 8.76120201689284)	('>50', 3.3228701101091795)	('>100', 5.966390911787101)	('>500', 3.7274674921220745)	('>1k', 8.292051722503135)	('>5k', 0.7971775795647779)	('>10k+', 0.8874521201710813)
AZ_B10	(1.0, 57.09173539897944)	(2.0, 11.982556357512603)	(3.0, 4.369497334088709)	(4.0, 2.204381444198067)	(5.0, 1.403510000705001)	(6.0, 0.9866860957719982)	(7.0, 0.7520316373382585)	(8.0, 0.6636607402130162)	(9.0, 0.5229586511627968)	('>10', 6.06486773050667)	('>50', 2.1761258061074265)	('>100', 6.336191418683372)	('>500', 3.21097401534419)	('>1k', 1.7130110518173622)	('>5k', 0.5218123175711122)	('>10k+', 0.0)
AZ_B11	(1.0, 38.27200013822647)	(2.0, 11.141079204723923)	(3.0, 5.610176649551562)	(4.0, 3.571769078059342)	(5.0, 2.533816929773619)	(6.0, 1.9011603195228668)	(7.0, 1.4953663487833555)	(8.0, 1.2530110336421758)	(9.0, 1.078323537540102)	('>10', 12.17949071839922)	('>50', 4.24752820273646)	('>100', 10.530114547069989)	('>500', 3.183431378893405)	('>1k', 2.2554500367086536)	('>5k', 0.30386444126842205)	('>10k+', 0.4434174351004263)
AZ_B12	(1.0, 39.79049641167377)	(2.0, 12.37970577761339)	(3.0, 6.178504578854563)	(4.0, 3.844993941884109)	(5.0, 2.684922339866608)	(6.0, 1.9918712152385383)	(7.0, 1.5172906077690635)	(8.0, 1.2600407806190588)	(9.0, 1.0766937780807253)	('>10', 12.72627242926753)	('>50', 4.317261132962432)	('>100', 8.654935735253924)	('>500', 1.846644523000787)	('>1k', 0.7531145617732182)	('>5k', 0.38551340194408734)	('>10k+', 0.5917387841982555)
AZ_B2	(1.0, 59.901625131025085)	(2.0, 13.504964193188536)	(3.0, 5.270688799386944)	(4.0, 2.8856646035970672)	(5.0, 1.9436259575778714)	(6.0, 1.3534499937109665)	(7.0, 1.0334387005470114)	(8.0, 0.7988406012245572)	(9.0, 0.6930835520217075)	('>10', 7.065863054472786)	('>50', 1.76489842880838)	('>100', 2.1320673941593133)	('>500', 0.41621816737053874)	('>1k', 1.2355714229092525)	('>5k', 0.0)	('>10k+', 0.0)
