Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
AZ_A10	AZ_A10.fastq	Conventional base calls	Illumina 1.5	1430710.0	61.5 Mbp	0.0	43.0	47.0	62.557450281007156	43.0	43	pass	pass	pass	fail	warn	pass	pass	warn	warn	pass
AZ_A11	AZ_A11.fastq	Conventional base calls	Illumina 1.5	1105884.0	47.5 Mbp	0.0	43.0	45.0	62.112436835087316	43.0	43	pass	pass	pass	fail	fail	pass	pass	warn	warn	pass
AZ_A6	AZ_A6.fastq	Conventional base calls	Illumina 1.5	1276330.0	54.8 Mbp	0.0	43.0	43.0	63.277270429134425	43.0	43	pass	pass	pass	fail	pass	pass	pass	warn	warn	pass
AZ_A7	AZ_A7.fastq	Conventional base calls	Illumina 1.5	3386434.0	145.6 Mbp	0.0	43.0	48.0	37.29516320449358	43.0	43	pass	pass	pass	fail	pass	pass	pass	fail	warn	pass
AZ_A8	AZ_A8.fastq	Conventional base calls	Illumina 1.5	880487.0	37.8 Mbp	0.0	43.0	47.0	64.36507788321377	43.0	43	pass	pass	pass	fail	warn	pass	pass	warn	warn	pass
AZ_B1	AZ_B1.fastq	Conventional base calls	Illumina 1.5	2504844.0	107.7 Mbp	0.0	43.0	47.0	52.634829838291566	43.0	43	pass	pass	pass	fail	fail	pass	pass	warn	warn	pass
AZ_B10	AZ_B10.fastq	Conventional base calls	Illumina 1.5	997847.0	42.9 Mbp	0.0	43.0	46.0	66.1770722691883	43.0	43	pass	pass	pass	fail	fail	pass	pass	warn	warn	pass
AZ_B11	AZ_B11.fastq	Conventional base calls	Illumina 1.5	5128201.0	220.5 Mbp	0.0	43.0	46.0	48.70562804517055	43.0	43	pass	pass	pass	fail	pass	pass	pass	fail	warn	pass
AZ_B12	AZ_B12.fastq	Conventional base calls	Illumina 1.5	3654384.0	157.1 Mbp	0.0	43.0	47.0	51.16096230001141	43.0	43	pass	pass	pass	fail	warn	pass	pass	warn	warn	pass
AZ_B2	AZ_B2.fastq	Conventional base calls	Illumina 1.5	1481060.0	63.6 Mbp	0.0	43.0	46.0	70.49893681793411	43.0	43	pass	pass	pass	fail	pass	pass	pass	pass	warn	pass
AZ_B3	AZ_B3.fastq	Conventional base calls	Illumina 1.5	4629946.0	199 Mbp	0.0	43.0	46.0	50.40887775517754	43.0	43	pass	pass	pass	fail	fail	pass	pass	warn	warn	pass
AZ_B5	AZ_B5.fastq	Conventional base calls	Illumina 1.5	3710247.0	159.5 Mbp	0.0	43.0	46.0	53.52565035966664	43.0	43	pass	pass	pass	fail	warn	pass	pass	warn	warn	pass
AZ_B8	AZ_B8.fastq	Conventional base calls	Illumina 1.5	2498785.0	107.4 Mbp	0.0	43.0	47.0	56.076251656644935	43.0	43	pass	pass	pass	fail	pass	pass	pass	warn	warn	pass
AZ_B9	AZ_B9.fastq	Conventional base calls	Illumina 1.5	918348.0	39.4 Mbp	0.0	43.0	46.0	58.904608825685834	43.0	43	pass	pass	pass	fail	warn	pass	pass	warn	warn	pass
AZ_C1	AZ_C1.fastq	Conventional base calls	Illumina 1.5	3112168.0	133.8 Mbp	0.0	43.0	46.0	56.637757921588985	43.0	43	pass	pass	pass	fail	fail	pass	pass	warn	warn	pass
AZ_C10	AZ_C10.fastq	Conventional base calls	Illumina 1.5	1293983.0	55.6 Mbp	0.0	43.0	47.0	60.965005643888446	43.0	43	pass	pass	pass	fail	warn	pass	pass	warn	warn	pass
AZ_C11	AZ_C11.fastq	Conventional base calls	Illumina 1.5	2166290.0	93.1 Mbp	0.0	43.0	46.0	51.10348575079714	43.0	43	pass	pass	pass	fail	fail	pass	pass	warn	warn	pass
AZ_C2	AZ_C2.fastq	Conventional base calls	Illumina 1.5	2041125.0	87.7 Mbp	0.0	43.0	46.0	58.40151319136992	43.0	43	pass	pass	pass	fail	warn	pass	pass	warn	warn	pass
AZ_C3	AZ_C3.fastq	Conventional base calls	Illumina 1.5	3164537.0	136 Mbp	0.0	43.0	46.0	61.067914418405465	43.0	43	pass	pass	pass	fail	pass	pass	pass	warn	warn	pass
AZ_C4	AZ_C4.fastq	Conventional base calls	Illumina 1.5	1574779.0	67.7 Mbp	0.0	43.0	48.0	56.72429924132351	43.0	43	pass	pass	pass	fail	warn	pass	pass	warn	warn	pass
AZ_C5	AZ_C5.fastq	Conventional base calls	Illumina 1.5	2673383.0	114.9 Mbp	0.0	43.0	47.0	57.109036238918456	43.0	43	pass	pass	pass	fail	warn	pass	pass	warn	warn	pass
AZ_C8	AZ_C8.fastq	Conventional base calls	Illumina 1.5	2170822.0	93.3 Mbp	0.0	43.0	46.0	56.82500027014412	43.0	43	pass	pass	pass	fail	warn	pass	pass	warn	warn	pass
AZ_C9	AZ_C9.fastq	Conventional base calls	Illumina 1.5	1139534.0	48.9 Mbp	0.0	43.0	47.0	72.6280243569986	43.0	43	pass	pass	pass	fail	pass	pass	pass	pass	warn	pass
AZ_D12	AZ_D12.fastq	Conventional base calls	Illumina 1.5	961130.0	41.3 Mbp	0.0	43.0	46.0	61.40105556509708	43.0	43	pass	pass	pass	fail	warn	pass	pass	warn	warn	pass
AZ_D4	AZ_D4.fastq	Conventional base calls	Illumina 1.5	1021552.0	43.9 Mbp	0.0	43.0	46.0	68.45342756487948	43.0	43	pass	pass	pass	fail	pass	pass	pass	warn	warn	pass
AZ_D6	AZ_D6.fastq	Conventional base calls	Illumina 1.5	849266.0	36.5 Mbp	0.0	43.0	46.0	72.6454712039204	43.0	43	pass	pass	pass	fail	pass	pass	pass	pass	warn	pass
AZ_D7	AZ_D7.fastq	Conventional base calls	Illumina 1.5	1260605.0	54.2 Mbp	0.0	43.0	46.0	58.08000566054577	43.0	43	pass	pass	pass	fail	warn	pass	pass	warn	warn	pass
AZ_D8	AZ_D8.fastq	Conventional base calls	Illumina 1.5	1189404.0	51.1 Mbp	0.0	43.0	47.0	65.90934433782401	43.0	43	pass	pass	pass	fail	warn	pass	pass	warn	warn	pass
AZ_E12	AZ_E12.fastq	Conventional base calls	Illumina 1.5	2106397.0	90.5 Mbp	0.0	43.0	45.0	54.89832085825972	43.0	43	pass	pass	pass	fail	fail	pass	pass	warn	warn	pass
AZ_E2	AZ_E2.fastq	Conventional base calls	Illumina 1.5	1105424.0	47.5 Mbp	0.0	43.0	46.0	66.00442214286718	43.0	43	pass	pass	pass	fail	pass	pass	pass	warn	warn	pass
AZ_E3	AZ_E3.fastq	Conventional base calls	Illumina 1.5	1116025.0	47.9 Mbp	0.0	43.0	49.0	59.823116992516354	43.0	43	pass	pass	pass	fail	warn	pass	pass	warn	warn	pass
AZ_E4	AZ_E4.fastq	Conventional base calls	Illumina 1.5	1456435.0	62.6 Mbp	0.0	43.0	45.0	68.95032574680816	43.0	43	pass	pass	pass	fail	pass	pass	pass	warn	warn	pass
AZ_E5	AZ_E5.fastq	Conventional base calls	Illumina 1.5	2146093.0	92.2 Mbp	0.0	43.0	47.0	57.0641793743586	43.0	43	pass	pass	pass	fail	warn	pass	pass	warn	warn	pass
AZ_E7	AZ_E7.fastq	Conventional base calls	Illumina 1.5	2761532.0	118.7 Mbp	0.0	43.0	48.0	57.80709727954212	43.0	43	pass	pass	pass	fail	warn	pass	pass	warn	warn	pass
AZ_E8	AZ_E8.fastq	Conventional base calls	Illumina 1.5	1927300.0	82.8 Mbp	0.0	43.0	47.0	60.087471942984195	43.0	43	pass	pass	pass	fail	warn	pass	pass	warn	warn	pass
AZ_F1	AZ_F1.fastq	Conventional base calls	Illumina 1.5	2954562.0	127 Mbp	0.0	43.0	47.0	59.89718932823298	43.0	43	pass	pass	pass	fail	pass	pass	pass	warn	warn	pass
