Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
AZ_A10	37.442549718992844	47.0	43.0	43	10.0	1.43071
AZ_A11	37.887563164912684	45.0	43.0	43	20.0	1.1058839999999999
AZ_A6	36.722729570865575	43.0	43.0	43	10.0	1.27633
AZ_A7	62.70483679550642	48.0	43.0	43	20.0	3.386434
AZ_A8	35.63492211678623	47.0	43.0	43	10.0	0.8804869999999999
AZ_B1	47.365170161708434	47.0	43.0	43	20.0	2.504844
AZ_B10	33.8229277308117	46.0	43.0	43	20.0	0.9978469999999999
AZ_B11	51.29437195482945	46.0	43.0	43	20.0	5.128201
AZ_B12	48.83903769998859	47.0	43.0	43	10.0	3.654384
AZ_B2	29.50106318206589	46.0	43.0	43	10.0	1.48106
AZ_B3	49.59112224482246	46.0	43.0	43	20.0	4.6299459999999995
AZ_B5	46.47434964033336	46.0	43.0	43	10.0	3.710247
AZ_B8	43.923748343355065	47.0	43.0	43	10.0	2.498785
AZ_B9	41.095391174314166	46.0	43.0	43	10.0	0.9183479999999999
AZ_C1	43.362242078411015	46.0	43.0	43	20.0	3.112168
AZ_C10	39.034994356111554	47.0	43.0	43	10.0	1.2939829999999999
AZ_C11	48.89651424920286	46.0	43.0	43	20.0	2.16629
AZ_C2	41.59848680863008	46.0	43.0	43	10.0	2.041125
AZ_C3	38.932085581594535	46.0	43.0	43	10.0	3.1645369999999997
AZ_C4	43.27570075867649	48.0	43.0	43	10.0	1.574779
AZ_C5	42.890963761081544	47.0	43.0	43	10.0	2.673383
AZ_C8	43.17499972985588	46.0	43.0	43	10.0	2.170822
AZ_C9	27.371975643001406	47.0	43.0	43	10.0	1.139534
AZ_D12	38.59894443490292	46.0	43.0	43	10.0	0.9611299999999999
AZ_D4	31.546572435120524	46.0	43.0	43	10.0	1.021552
AZ_D6	27.354528796079606	46.0	43.0	43	10.0	0.849266
AZ_D7	41.91999433945423	46.0	43.0	43	10.0	1.260605
AZ_D8	34.09065566217599	47.0	43.0	43	10.0	1.189404
AZ_E12	45.10167914174028	45.0	43.0	43	20.0	2.106397
AZ_E2	33.995577857132815	46.0	43.0	43	10.0	1.105424
AZ_E3	40.176883007483646	49.0	43.0	43	10.0	1.116025
AZ_E4	31.04967425319184	45.0	43.0	43	10.0	1.456435
AZ_E5	42.9358206256414	47.0	43.0	43	10.0	2.146093
AZ_E7	42.19290272045788	48.0	43.0	43	10.0	2.761532
AZ_E8	39.912528057015805	47.0	43.0	43	10.0	1.9273
AZ_F1	40.10281067176702	47.0	43.0	43	10.0	2.9545619999999997
AZ_F2	31.9192941052237	47.0	43.0	43	10.0	0.900627
AZ_F4	37.53303069922185	46.0	43.0	43	10.0	1.8949179999999999
AZ_F5	31.806831594872023	44.0	43.0	43	10.0	1.413116
AZ_F6	57.51006947507101	48.0	43.0	43	20.0	4.753907
AZ_F7	50.62454640718476	48.0	43.0	43	20.0	4.022152999999999
AZ_F8	36.5741347238004	46.0	43.0	43	10.0	1.532111
AZ_G1	41.95878117200373	46.0	43.0	43	10.0	1.679306
AZ_G3	36.56375131402728	44.0	43.0	43	10.0	0.946274
AZ_G5	33.302258995871625	46.0	43.0	43	10.0	1.130914
AZ_G6	50.006262801229354	46.0	43.0	43	20.0	2.819032
AZ_H10	40.186540536799384	45.0	43.0	43	10.0	2.10785
AZ_H11	44.26866195898259	46.0	43.0	43	10.0	1.699531
HP1502401_A10	55.00753790401621	48.0	43.0	43	20.0	2.6600759999999997
HP1502401_A14	41.16432418014334	50.0	43.0	43	10.0	1.072802
HP1502401_A17	39.58625957285486	47.0	43.0	43	10.0	1.255075
HP1502401_A18	46.96699985238686	49.0	43.0	43	10.0	2.4146739999999998
HP1502401_A2	53.50496998001575	49.0	43.0	43	20.0	3.213679
HP1502401_A22	41.79039084650776	47.0	43.0	43	10.0	2.5297769999999997
HP1502401_A24	52.984495513481974	51.0	43.0	43	20.0	2.225212
HP1502401_A4	45.76405987854061	47.0	43.0	43	10.0	2.507373
HP1502401_A5	81.01956000634218	39.0	43.0	43	50.0	1.085596
HP1502401_A6	51.56926767097701	49.0	43.0	43	20.0	2.020764
HP1502401_A7	50.950873692582746	49.0	43.0	43	20.0	2.506928
HP1502401_B1	54.08436642585359	49.0	43.0	43	20.0	1.983811
HP1502401_B10	53.16443810113135	44.0	43.0	43	30.0	1.5900859999999999
HP1502401_B16	53.78417707438639	47.0	43.0	43	30.0	1.161311
HP1502401_B17	47.28712446927838	50.0	43.0	43	10.0	1.528646
HP1502401_B18	49.53400434002588	48.0	43.0	43	10.0	1.736263
HP1502401_B20	42.46232345586169	47.0	43.0	43	0.0	1.049911
HP1502401_B21	46.73160401128003	50.0	43.0	43	10.0	1.9670249999999998
HP1502401_B23	44.54134229967794	49.0	43.0	43	10.0	1.6128099999999999
HP1502401_B24	45.596575720531774	52.0	43.0	43	10.0	1.3138969999999999
HP1502401_B5	41.59041259923273	50.0	43.0	43	10.0	1.43266
HP1502401_B7	56.31332606947893	53.0	43.0	43	20.0	1.1274359999999999
HP1502401_B8	51.04995070567501	50.0	43.0	43	20.0	2.526405
HP1502401_C1	40.80469003041466	51.0	43.0	43	10.0	0.833657
HP1502401_C10	52.01990483604913	53.0	43.0	43	20.0	2.2389099999999997
HP1502401_C14	49.68913420356533	48.0	43.0	43	10.0	1.527458
HP1502401_C16	47.478629350151195	48.0	43.0	43	0.0	1.373341
HP1502401_C18	55.48028701407577	52.0	43.0	43	20.0	1.6516389999999999
HP1502401_C20	53.66416135579664	50.0	43.0	43	20.0	1.798859
HP1502401_C21	50.37321188691564	48.0	43.0	43	20.0	2.2078729999999998
HP1502401_C4	44.06868885971278	47.0	43.0	43	10.0	1.553833
HP1502401_C5	51.29272724592907	48.0	43.0	43	20.0	2.4569449999999997
HP1502401_C6	51.386080955089085	53.0	43.0	43	20.0	1.167819
HP1502401_C7	57.93453378174969	53.0	43.0	43	20.0	1.7454729999999998
HP1502401_C8	43.44351296354139	53.0	43.0	43	10.0	1.264629
HP1502401_D1	55.74004883492467	41.0	43.0	43	40.0	1.562871
HP1502401_D10	50.69668289077737	49.0	43.0	43	20.0	3.071741
HP1502401_D12	45.01260097430709	48.0	43.0	43	10.0	2.2923839999999998
HP1502401_D16	44.062717488832924	46.0	43.0	43	10.0	1.5462909999999999
HP1502401_D17	49.58416833983108	49.0	43.0	43	10.0	1.323564
HP1502401_D18	42.10291624363768	48.0	43.0	43	10.0	2.4148099999999997
HP1502401_D2	57.16426860890181	50.0	43.0	43	20.0	3.330107
HP1502401_D20	47.73707078540094	45.0	43.0	43	0.0	2.159694
HP1502401_D22	49.84027436450015	50.0	43.0	43	10.0	1.9248919999999998
HP1502401_D24	45.12265195297028	47.0	43.0	43	0.0	1.959299
HP1502401_D3	42.13208892543474	49.0	43.0	43	10.0	1.685103
HP1502401_D4	46.66893442362311	49.0	43.0	43	10.0	2.6292
HP1502401_D5	58.537770016568565	47.0	43.0	43	10.0	3.604612
HP1502401_D6	48.83199285304451	50.0	43.0	43	10.0	2.338377
HP1502401_D8	41.62758905874594	50.0	43.0	43	10.0	1.901903
HP1502401_E10	52.793782952001955	50.0	43.0	43	20.0	2.56698
HP1502401_E11	48.27067347307272	48.0	43.0	43	10.0	2.3385659999999997
HP1502401_E14	33.718724588886076	49.0	43.0	43	10.0	1.095283
HP1502401_E16	41.46359234244261	49.0	43.0	43	0.0	0.983034
HP1502401_E17	44.28158294717096	49.0	43.0	43	10.0	1.738792
HP1502401_E19	49.9701680844469	50.0	43.0	43	10.0	2.118471
HP1502401_E2	55.159881259105106	51.0	43.0	43	20.0	2.466951
HP1502401_E20	47.12518014740431	49.0	43.0	43	10.0	2.52946
HP1502401_E21	45.97683683291982	47.0	43.0	43	0.0	2.742833
HP1502401_E22	48.84694516894032	53.0	43.0	43	10.0	1.005344
HP1502401_E23	57.4622639143132	50.0	43.0	43	20.0	2.4555089999999997
HP1502401_E24	44.160224162074456	51.0	43.0	43	10.0	1.1045909999999999
HP1502401_E3	61.044350935615235	52.0	43.0	43	20.0	1.5035239999999999
HP1502401_E5	45.608864122290825	47.0	43.0	43	10.0	2.473384
HP1502401_E6	33.945314934097	50.0	43.0	43	10.0	0.768683
HP1502401_E7	44.931193364974945	49.0	43.0	43	10.0	2.051099
HP1502401_E9	41.97578429682004	51.0	43.0	43	10.0	1.3121099999999999
HP1502401_F10	52.80191829924587	47.0	43.0	43	20.0	2.4913119999999997
HP1502401_F12	49.01245143514801	47.0	43.0	43	0.0	2.966134
HP1502401_F15	38.208919845191126	48.0	43.0	43	10.0	1.194326
HP1502401_F16	36.81548533173893	45.0	43.0	43	20.0	1.0903909999999999
HP1502401_F17	35.279019832879584	45.0	43.0	43	10.0	1.164693
HP1502401_F18	46.53480386223456	48.0	43.0	43	0.0	1.7520799999999999
HP1502401_F19	44.25230478815736	48.0	43.0	43	0.0	2.227235
HP1502401_F20	42.84536918658263	48.0	43.0	43	10.0	2.348006
