Module	Section	Sample Name	Source
FastQC	all_sections	AZ_A10	/scratch/goodier.r/files/qc_reports/AZ_A10_fastqc.zip
FastQC	all_sections	AZ_A11	/scratch/goodier.r/files/qc_reports/AZ_A11_fastqc.zip
FastQC	all_sections	AZ_A6	/scratch/goodier.r/files/qc_reports/AZ_A6_fastqc.zip
FastQC	all_sections	AZ_A7	/scratch/goodier.r/files/qc_reports/AZ_A7_fastqc.zip
FastQC	all_sections	AZ_A8	/scratch/goodier.r/files/qc_reports/AZ_A8_fastqc.zip
FastQC	all_sections	AZ_B10	/scratch/goodier.r/files/qc_reports/AZ_B10_fastqc.zip
FastQC	all_sections	AZ_B11	/scratch/goodier.r/files/qc_reports/AZ_B11_fastqc.zip
FastQC	all_sections	AZ_B12	/scratch/goodier.r/files/qc_reports/AZ_B12_fastqc.zip
FastQC	all_sections	AZ_B1	/scratch/goodier.r/files/qc_reports/AZ_B1_fastqc.zip
FastQC	all_sections	AZ_B2	/scratch/goodier.r/files/qc_reports/AZ_B2_fastqc.zip
FastQC	all_sections	AZ_B3	/scratch/goodier.r/files/qc_reports/AZ_B3_fastqc.zip
FastQC	all_sections	AZ_B5	/scratch/goodier.r/files/qc_reports/AZ_B5_fastqc.zip
FastQC	all_sections	AZ_B8	/scratch/goodier.r/files/qc_reports/AZ_B8_fastqc.zip
FastQC	all_sections	AZ_B9	/scratch/goodier.r/files/qc_reports/AZ_B9_fastqc.zip
FastQC	all_sections	AZ_C10	/scratch/goodier.r/files/qc_reports/AZ_C10_fastqc.zip
FastQC	all_sections	AZ_C11	/scratch/goodier.r/files/qc_reports/AZ_C11_fastqc.zip
FastQC	all_sections	AZ_C1	/scratch/goodier.r/files/qc_reports/AZ_C1_fastqc.zip
FastQC	all_sections	AZ_C2	/scratch/goodier.r/files/qc_reports/AZ_C2_fastqc.zip
FastQC	all_sections	AZ_C3	/scratch/goodier.r/files/qc_reports/AZ_C3_fastqc.zip
FastQC	all_sections	AZ_C4	/scratch/goodier.r/files/qc_reports/AZ_C4_fastqc.zip
FastQC	all_sections	AZ_C5	/scratch/goodier.r/files/qc_reports/AZ_C5_fastqc.zip
FastQC	all_sections	AZ_C8	/scratch/goodier.r/files/qc_reports/AZ_C8_fastqc.zip
FastQC	all_sections	AZ_C9	/scratch/goodier.r/files/qc_reports/AZ_C9_fastqc.zip
FastQC	all_sections	AZ_D12	/scratch/goodier.r/files/qc_reports/AZ_D12_fastqc.zip
FastQC	all_sections	AZ_D4	/scratch/goodier.r/files/qc_reports/AZ_D4_fastqc.zip
FastQC	all_sections	AZ_D6	/scratch/goodier.r/files/qc_reports/AZ_D6_fastqc.zip
FastQC	all_sections	AZ_D7	/scratch/goodier.r/files/qc_reports/AZ_D7_fastqc.zip
FastQC	all_sections	AZ_D8	/scratch/goodier.r/files/qc_reports/AZ_D8_fastqc.zip
FastQC	all_sections	AZ_E12	/scratch/goodier.r/files/qc_reports/AZ_E12_fastqc.zip
FastQC	all_sections	AZ_E2	/scratch/goodier.r/files/qc_reports/AZ_E2_fastqc.zip
FastQC	all_sections	AZ_E3	/scratch/goodier.r/files/qc_reports/AZ_E3_fastqc.zip
FastQC	all_sections	AZ_E4	/scratch/goodier.r/files/qc_reports/AZ_E4_fastqc.zip
FastQC	all_sections	AZ_E5	/scratch/goodier.r/files/qc_reports/AZ_E5_fastqc.zip
FastQC	all_sections	AZ_E7	/scratch/goodier.r/files/qc_reports/AZ_E7_fastqc.zip
FastQC	all_sections	AZ_E8	/scratch/goodier.r/files/qc_reports/AZ_E8_fastqc.zip
FastQC	all_sections	AZ_F1	/scratch/goodier.r/files/qc_reports/AZ_F1_fastqc.zip
FastQC	all_sections	AZ_F2	/scratch/goodier.r/files/qc_reports/AZ_F2_fastqc.zip
FastQC	all_sections	AZ_F4	/scratch/goodier.r/files/qc_reports/AZ_F4_fastqc.zip
FastQC	all_sections	AZ_F5	/scratch/goodier.r/files/qc_reports/AZ_F5_fastqc.zip
FastQC	all_sections	AZ_F6	/scratch/goodier.r/files/qc_reports/AZ_F6_fastqc.zip
FastQC	all_sections	AZ_F7	/scratch/goodier.r/files/qc_reports/AZ_F7_fastqc.zip
FastQC	all_sections	AZ_F8	/scratch/goodier.r/files/qc_reports/AZ_F8_fastqc.zip
FastQC	all_sections	AZ_G1	/scratch/goodier.r/files/qc_reports/AZ_G1_fastqc.zip
FastQC	all_sections	AZ_G3	/scratch/goodier.r/files/qc_reports/AZ_G3_fastqc.zip
FastQC	all_sections	AZ_G5	/scratch/goodier.r/files/qc_reports/AZ_G5_fastqc.zip
FastQC	all_sections	AZ_G6	/scratch/goodier.r/files/qc_reports/AZ_G6_fastqc.zip
FastQC	all_sections	AZ_H10	/scratch/goodier.r/files/qc_reports/AZ_H10_fastqc.zip
FastQC	all_sections	AZ_H11	/scratch/goodier.r/files/qc_reports/AZ_H11_fastqc.zip
FastQC	all_sections	HP1502401_A10	/scratch/goodier.r/files/qc_reports/HP1502401_A10_fastqc.zip
FastQC	all_sections	HP1502401_A14	/scratch/goodier.r/files/qc_reports/HP1502401_A14_fastqc.zip
FastQC	all_sections	HP1502401_A17	/scratch/goodier.r/files/qc_reports/HP1502401_A17_fastqc.zip
FastQC	all_sections	HP1502401_A18	/scratch/goodier.r/files/qc_reports/HP1502401_A18_fastqc.zip
FastQC	all_sections	HP1502401_A22	/scratch/goodier.r/files/qc_reports/HP1502401_A22_fastqc.zip
FastQC	all_sections	HP1502401_A24	/scratch/goodier.r/files/qc_reports/HP1502401_A24_fastqc.zip
FastQC	all_sections	HP1502401_A2	/scratch/goodier.r/files/qc_reports/HP1502401_A2_fastqc.zip
