run_accession	experiment_accession	library_name	submitted_ftp	sample_title	sample_accession
ERR1630013	ERX1700346	AZ_A1_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630013/AZ_A1.fastq.gz	AZ_A1	SAMEA4437021
ERR1630028	ERX1700361	AZ_B12_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630028/AZ_B12.fastq.gz	AZ_B12	SAMEA4437036
ERR1630029	ERX1700362	AZ_B2_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630029/AZ_B2.fastq.gz	AZ_B2	SAMEA4437037
ERR1630034	ERX1700367	AZ_B7_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630034/AZ_B7.fastq.gz	AZ_B7	SAMEA4437042
ERR1630035	ERX1700368	AZ_B8_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630035/AZ_B8.fastq.gz	AZ_B8	SAMEA4437043
ERR1630044	ERX1700377	AZ_C5_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630044/AZ_C5.fastq.gz	AZ_C5	SAMEA4437052
ERR1630046	ERX1700379	AZ_C7_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630046/AZ_C7.fastq.gz	AZ_C7	SAMEA4437054
ERR1630047	ERX1700380	AZ_C8_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630047/AZ_C8.fastq.gz	AZ_C8	SAMEA4437055
ERR1630048	ERX1700381	AZ_C9_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630048/AZ_C9.fastq.gz	AZ_C9	SAMEA4437056
ERR1630050	ERX1700383	AZ_D10_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630050/AZ_D10.fastq.gz	AZ_D10	SAMEA4437058
ERR1630058	ERX1700391	AZ_D7_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630058/AZ_D7.fastq.gz	AZ_D7	SAMEA4437066
ERR1630063	ERX1700396	AZ_E11_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630063/AZ_E11.fastq.gz	AZ_E11	SAMEA4437071
ERR1630066	ERX1700399	AZ_E3_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630066/AZ_E3.fastq.gz	AZ_E3	SAMEA4437074
ERR1630067	ERX1700400	AZ_E4_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630067/AZ_E4.fastq.gz	AZ_E4	SAMEA4437075
ERR1630068	ERX1700401	AZ_E5_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630068/AZ_E5.fastq.gz	AZ_E5	SAMEA4437076
ERR1630070	ERX1700403	AZ_E7_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630070/AZ_E7.fastq.gz	AZ_E7	SAMEA4437078
ERR1630073	ERX1700406	AZ_F1_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630073/AZ_F1.fastq.gz	AZ_F1	SAMEA4437081
ERR1630075	ERX1700408	AZ_F11_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630075/AZ_F11.fastq.gz	AZ_F11	SAMEA4437083
ERR1630076	ERX1700409	AZ_F12_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630076/AZ_F12.fastq.gz	AZ_F12	SAMEA4437084
ERR1630079	ERX1700412	AZ_F4_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630079/AZ_F4.fastq.gz	AZ_F4	SAMEA4437087
ERR1630081	ERX1700414	AZ_F6_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630081/AZ_F6.fastq.gz	AZ_F6	SAMEA4437089
ERR1630082	ERX1700415	AZ_F7_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630082/AZ_F7.fastq.gz	AZ_F7	SAMEA4437090
ERR1630083	ERX1700416	AZ_F8_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630083/AZ_F8.fastq.gz	AZ_F8	SAMEA4437091
ERR1630085	ERX1700418	AZ_G1_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630085/AZ_G1.fastq.gz	AZ_G1	SAMEA4437093
ERR1630095	ERX1700428	AZ_G8_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630095/AZ_G8.fastq.gz	AZ_G8	SAMEA4437103
ERR1630100	ERX1700433	AZ_H12_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630100/AZ_H12.fastq.gz	AZ_H12	SAMEA4437108
ERR1630101	ERX1700434	AZ_H2_s	ftp.sra.ebi.ac.uk/vol1/run/ERR163/ERR1630101/AZ_H2.fastq.gz	AZ_H2	SAMEA4437109
