filename,read_counts
AZ_A10.fastq,1430710
AZ_A11.fastq,1105884
AZ_A6.fastq,1276330
AZ_A7.fastq,3386434
AZ_A8.fastq,880487
AZ_B10.fastq,997847
AZ_B11.fastq,5128201
AZ_B12.fastq,3654384
AZ_B1.fastq,2504844
AZ_B2.fastq,1481060
AZ_B3.fastq,4629946
AZ_B5.fastq,3710247
AZ_B8.fastq,2498785
AZ_B9.fastq,918348
AZ_C10.fastq,1293983
AZ_C11.fastq,2166290
AZ_C1.fastq,3112168
AZ_C2.fastq,2041125
AZ_C3.fastq,3164537
AZ_C4.fastq,1574779
AZ_C5.fastq,2673383
AZ_C8.fastq,2170822
AZ_C9.fastq,1139534
AZ_D12.fastq,961130
AZ_D4.fastq,1021552
AZ_D6.fastq,849266
AZ_D7.fastq,1260605
AZ_D8.fastq,1189404
AZ_E12.fastq,2106397
AZ_E2.fastq,1105424
AZ_E3.fastq,1116025
AZ_E4.fastq,1456435
AZ_E5.fastq,2146093
AZ_E7.fastq,2761532
AZ_E8.fastq,1927300
AZ_F1.fastq,2954562
AZ_F2.fastq,900627
AZ_F4.fastq,1894918
AZ_F5.fastq,1413116
AZ_F6.fastq,4753907
AZ_F7.fastq,4022153
AZ_F8.fastq,1532111
AZ_G1.fastq,1679306
AZ_G3.fastq,946274
AZ_G5.fastq,1130914
AZ_G6.fastq,2819032
AZ_H10.fastq,2107850
AZ_H11.fastq,1699531
HP1502401_A10.fastq,2660076
HP1502401_A14.fastq,1072802
HP1502401_A17.fastq,1255075
HP1502401_A18.fastq,2414674
HP1502401_A22.fastq,2529777
HP1502401_A24.fastq,2225212
HP1502401_A2.fastq,3213679
HP1502401_A4.fastq,2507373
HP1502401_A5.fastq,1085596
HP1502401_A6.fastq,2020764
HP1502401_A7.fastq,2506928
HP1502401_B10.fastq,1590086
HP1502401_B16.fastq,1161311
HP1502401_B17.fastq,1528646
HP1502401_B18.fastq,1736263
HP1502401_B1.fastq,1983811
HP1502401_B20.fastq,1049911
HP1502401_B21.fastq,1967025
HP1502401_B23.fastq,1612810
HP1502401_B24.fastq,1313897
HP1502401_B5.fastq,1432660
HP1502401_B7.fastq,1127436
HP1502401_B8.fastq,2526405
HP1502401_C10.fastq,2238910
HP1502401_C14.fastq,1527458
HP1502401_C16.fastq,1373341
HP1502401_C18.fastq,1651639
HP1502401_C1.fastq,833657
HP1502401_C20.fastq,1798859
HP1502401_C21.fastq,2207873
HP1502401_C4.fastq,1553833
HP1502401_C5.fastq,2456945
HP1502401_C6.fastq,1167819
HP1502401_C7.fastq,1745473
HP1502401_C8.fastq,1264629
HP1502401_D10.fastq,3071741
HP1502401_D12.fastq,2292384
HP1502401_D16.fastq,1546291
HP1502401_D17.fastq,1323564
HP1502401_D18.fastq,2414810
HP1502401_D1.fastq,1562871
HP1502401_D20.fastq,2159694
HP1502401_D22.fastq,1924892
HP1502401_D24.fastq,1959299
HP1502401_D2.fastq,3330107
HP1502401_D3.fastq,1685103
HP1502401_D4.fastq,2629200
HP1502401_D5.fastq,3604612
HP1502401_D6.fastq,2338377
HP1502401_D8.fastq,1901903
HP1502401_E10.fastq,2566980
HP1502401_E11.fastq,2338566
HP1502401_E14.fastq,1095283
HP1502401_E16.fastq,983034
HP1502401_E17.fastq,1738792
HP1502401_E19.fastq,2118471
HP1502401_E20.fastq,2529460
HP1502401_E21.fastq,2742833
HP1502401_E22.fastq,1005344
HP1502401_E23.fastq,2455509
HP1502401_E24.fastq,1104591
HP1502401_E2.fastq,2466951
HP1502401_E3.fastq,1503524
HP1502401_E5.fastq,2473384
HP1502401_E6.fastq,768683
HP1502401_E7.fastq,2051099
HP1502401_E9.fastq,1312110
HP1502401_F10.fastq,2491312
HP1502401_F12.fastq,2966134
HP1502401_F15.fastq,1194326
HP1502401_F16.fastq,1090391
HP1502401_F17.fastq,1164693
HP1502401_F18.fastq,1752080
HP1502401_F19.fastq,2227235
HP1502401_F20.fastq,2348006
HP1502401_F21.fastq,2726627
HP1502401_F22.fastq,2367773
HP1502401_F23.fastq,2316105
HP1502401_F24.fastq,1010939
HP1502401_G10.fastq,1506137
HP1502401_G11.fastq,2700647
HP1502401_G12.fastq,758688
HP1502401_G18.fastq,2592901
HP1502401_G20.fastq,2160015
HP1502401_G21.fastq,787949
HP1502401_G22.fastq,1033144
HP1502401_G23.fastq,2559759
HP1502401_G24.fastq,2802565
HP1502401_G2.fastq,901882
HP1502401_G4.fastq,2418543
HP1502401_G5.fastq,2790857
HP1502401_G6.fastq,1195741
HP1502401_G7.fastq,2523612
HP1502401_G8.fastq,2144815
HP1502401_H10.fastq,1169807
HP1502401_H11.fastq,1951095
HP1502401_H12.fastq,2137491
HP1502401_H15.fastq,1549011
HP1502401_H16.fastq,1780826
HP1502401_H18.fastq,1803360
HP1502401_H19.fastq,1678092
HP1502401_H1.fastq,1513375
HP1502401_H20.fastq,1907230
HP1502401_H21.fastq,2342307
HP1502401_H22.fastq,1844845
HP1502401_H23.fastq,2091556
HP1502401_H24.fastq,2157491
