Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42
AZ_A10	(1, 32.217994562140476)	(2, 32.49747258354244)	(3, 32.661838527723994)	(4, 36.20189975606517)	(5, 36.06866171341502)	(6, 36.14356857783898)	(7, 36.06920899413578)	(8, 36.063855708005114)	(9, 37.71982232597801)	(10, 37.6047479922556)	(11, 37.70585164009478)	(12, 37.56379280217514)	(13, 37.63524403967261)	(14, 38.886408845957604)	(15, 38.85885399556864)	(16, 38.762687756428626)	(17, 38.66665781325356)	(18, 38.52896114516569)	(19, 38.54564936290373)	(20, 38.77280930447121)	(21, 38.760976717853374)	(22, 38.77821571108051)	(23, 38.7149666948578)	(24, 38.65917341739416)	(25, 38.62150051373094)	(26, 38.435204199313624)	(27, 38.298384019123375)	(28, 38.24190227229837)	(29, 38.099588316290514)	(30, 38.00062905829972)	(31, 37.83046808927036)	(32, 37.73353929168035)	(33, 37.639540507859735)	(34, 37.5437489078849)	(35, 37.395198887265764)	(36, 37.354416338740904)	(37, 37.28889432519518)	(38, 37.178945418708196)	(39, 37.09898861404478)	(40, 37.013631693355045)	(41, 36.86584912386158)	(42, 36.74470018382481)	(43, 36.4161905627276)
AZ_A11	(1, 32.66658618806312)	(2, 32.91059912251195)	(3, 33.05026566981709)	(4, 36.411619120992796)	(5, 36.336071414361726)	(6, 36.394158881039964)	(7, 36.33051929497126)	(8, 36.33598912725024)	(9, 38.0669536768775)	(10, 38.03154489982675)	(11, 38.08548455353365)	(12, 38.01211429046808)	(13, 38.037002976804075)	(14, 39.441243385382194)	(15, 39.44230317103783)	(16, 39.3557244701976)	(17, 39.28276564268947)	(18, 39.173133891077185)	(19, 39.21242824744729)	(20, 39.41938394985369)	(21, 39.41565118945567)	(22, 39.437509720730205)	(23, 39.37527805809651)	(24, 39.33000296595303)	(25, 39.306400128765766)	(26, 39.167270708320224)	(27, 39.06728734659331)	(28, 39.03338324815261)	(29, 38.922455700597894)	(30, 38.84044619508013)	(31, 38.712168726557216)	(32, 38.623956038788876)	(33, 38.552413273001505)	(34, 38.48510512856683)	(35, 38.35087043487382)	(36, 38.33796582643387)	(37, 38.29522897519089)	(38, 38.184551905986524)	(39, 38.138617612697175)	(40, 38.07449153799133)	(41, 37.96593946562207)	(42, 37.87437199561618)	(43, 37.57182760578867)
AZ_A6	(1, 31.462142235942114)	(2, 31.673597737262305)	(3, 31.80041290261923)	(4, 35.54794214662352)	(5, 35.23763368407857)	(6, 35.45791840668166)	(7, 35.414165615475625)	(8, 35.409415276613416)	(9, 36.91526721145785)	(10, 36.66222685355668)	(11, 36.88514020668636)	(12, 36.6810621077621)	(13, 36.8033149734003)	(14, 37.78323160938002)	(15, 37.77073092382064)	(16, 37.63689092946181)	(17, 37.55337491087728)	(18, 37.40120815149687)	(19, 37.456797223288646)	(20, 37.62249966701402)	(21, 37.58588452829597)	(22, 37.57902815102677)	(23, 37.47226579332931)	(24, 37.39973282771697)	(25, 37.36159848941888)	(26, 37.12419123580892)	(27, 36.958241990707734)	(28, 36.877620207939955)	(29, 36.70592715050183)	(30, 36.57009785870425)	(31, 36.3948978712402)	(32, 36.282001519983076)	(33, 36.14695102363809)	(34, 36.061122123588724)	(35, 35.87425509076806)	(36, 35.812257801665716)	(37, 35.73191180964171)	(38, 35.574096040992536)	(39, 35.50165082698048)	(40, 35.375934907116495)	(41, 35.200566467919735)	(42, 35.06512030587701)	(43, 34.727492889769884)
AZ_A7	(1, 32.11561335611442)	(2, 32.394273445163854)	(3, 32.55913801952142)	(4, 36.140799436811704)	(5, 35.98917031898451)	(6, 36.08068900796531)	(7, 36.01945084416233)	(8, 36.003891113779275)	(9, 37.65098064807996)	(10, 37.50336755418827)	(11, 37.63273254402714)	(12, 37.49968787225737)	(13, 37.55186015732183)	(14, 38.77315518329901)	(15, 38.74008765562831)	(16, 38.65813389541919)	(17, 38.565681480873394)	(18, 38.46337327111646)	(19, 38.471970515297215)	(20, 38.65982446431851)	(21, 38.626989925095245)	(22, 38.650770988006855)	(23, 38.584390837087035)	(24, 38.512595845659476)	(25, 38.48245735779879)	(26, 38.31100296063647)	(27, 38.16926064408756)	(28, 38.1160120055492)	(29, 37.999707952377044)	(30, 37.87514772176277)	(31, 37.73068425370168)	(32, 37.60855371756839)	(33, 37.51074079695633)	(34, 37.456438838022535)	(35, 37.299243983494144)	(36, 37.274194329492325)	(37, 37.232071258438815)	(38, 37.10643910378882)	(39, 37.058260104877284)	(40, 36.96709311328672)	(41, 36.82497458978973)	(42, 36.6940897120688)	(43, 36.378846302629846)
AZ_A8	(1, 32.65878882936375)	(2, 32.91063241138143)	(3, 33.042713861760596)	(4, 36.40765394605485)	(5, 36.33221955576857)	(6, 36.38017256359265)	(7, 36.31062468838268)	(8, 36.31110283286409)	(9, 38.04917619453779)	(10, 38.00643166792923)	(11, 38.05515243268782)	(12, 37.97670834435943)	(13, 37.99069265077168)	(14, 39.386059078668964)	(15, 39.37119457754629)	(16, 39.28108762537096)	(17, 39.19739644083331)	(18, 39.04701716209325)	(19, 39.078072702947345)	(20, 39.306104462643965)	(21, 39.31488937372159)	(22, 39.33038080062511)	(23, 39.254774914337176)	(24, 39.20114209522685)	(25, 39.17243752605092)	(26, 38.99994207750938)	(27, 38.902425589474916)	(28, 38.84914030530831)	(29, 38.723658611654685)	(30, 38.627030268476425)	(31, 38.494349149959056)	(32, 38.398041084081875)	(33, 38.30883817705429)	(34, 38.224871008884854)	(35, 38.058569859634495)	(36, 38.03688640491001)	(37, 37.97840853981944)	(38, 37.86729162383999)	(39, 37.81468437353419)	(40, 37.73461050532262)	(41, 37.61134008792861)	(42, 37.5120745678244)	(43, 37.19465704774744)
AZ_B1	(1, 32.82143239259611)	(2, 33.04038215553543)	(3, 33.168971001786936)	(4, 36.46246353066299)	(5, 36.42221870902939)	(6, 36.46139440220629)	(7, 36.384527339826356)	(8, 36.393509136696736)	(9, 38.16768748872185)	(10, 38.14946160319764)	(11, 38.18198099362675)	(12, 38.094084901095634)	(13, 38.11872356122777)	(14, 39.57433796276335)	(15, 39.552826443483106)	(16, 39.48509527938666)	(17, 39.39709898101439)	(18, 39.28786742807137)	(19, 39.32851147616378)	(20, 39.544740910012756)	(21, 39.55603143349446)	(22, 39.5735047771438)	(23, 39.51703818680924)	(24, 39.47869328389313)	(25, 39.444681185734524)	(26, 39.30103990507992)	(27, 39.20189161480715)	(28, 39.161420830997855)	(29, 39.053008490748326)	(30, 38.96502297149044)	(31, 38.80847988936636)	(32, 38.702048111579)	(33, 38.63201061622999)	(34, 38.51861393364217)	(35, 38.41348842482805)	(36, 38.37537986397556)	(37, 38.29955518187959)	(38, 38.21510840595263)	(39, 38.11907767509673)	(40, 38.04923140922149)	(41, 37.926264469963)	(42, 37.816194541456476)	(43, 37.511908526039946)
AZ_B10	(1, 31.969168620038943)	(2, 32.237948302695706)	(3, 32.398725455906565)	(4, 36.017572834312276)	(5, 35.860175958839385)	(6, 35.962458172445274)	(7, 35.8932641978179)	(8, 35.89262381908249)	(9, 37.505226753199636)	(10, 37.34693194447646)	(11, 37.47389429441588)	(12, 37.316151674555314)	(13, 37.40484763696238)	(14, 38.5771746570366)	(15, 38.54229255587279)	(16, 38.44151157441973)	(17, 38.34623845138584)	(18, 38.20972553908565)	(19, 38.25009445335808)	(20, 38.44105659484871)	(21, 38.42201960821649)	(22, 38.43917955357885)	(23, 38.35846076602926)	(24, 38.29502318491713)	(25, 38.26191891141628)	(26, 38.05929867003659)	(27, 37.90424183266573)	(28, 37.85111845804016)	(29, 37.6739309733857)	(30, 37.56960636249846)	(31, 37.38629068384231)	(32, 37.27682600639176)	(33, 37.166332113039374)	(34, 37.04628465085329)	(35, 36.898657810265505)	(36, 36.842765474065665)	(37, 36.763383564815044)	(38, 36.64149313471905)	(39, 36.546452512258895)	(40, 36.445559289149536)	(41, 36.27498804927008)	(42, 36.149229290662795)	(43, 35.80683110737418)
AZ_B11	(1, 32.4285257149632)	(2, 32.70789112985236)	(3, 32.8608870830141)	(4, 36.31848615138135)	(5, 36.21892024123079)	(6, 36.285346069703586)	(7, 36.21886232618417)	(8, 36.21623489406909)	(9, 37.90798586092862)	(10, 37.82315786764208)	(11, 37.8987065834588)	(12, 37.80093779475492)	(13, 37.836474233361756)	(14, 39.184258378327996)	(15, 39.16876542085616)	(16, 39.081805295853265)	(17, 39.002431456957325)	(18, 38.86510318140806)	(19, 38.899602999180416)	(20, 39.099839495370794)	(21, 39.09889920461386)	(22, 39.11679300401837)	(23, 39.05013220035642)	(24, 39.00311064250407)	(25, 38.97347412864667)	(26, 38.81421457544273)	(27, 38.70784861981814)	(28, 38.664092924594804)	(29, 38.543997397917906)	(30, 38.454348415750474)	(31, 38.329978875632996)	(32, 38.25003446627775)	(33, 38.169218406220814)	(34, 38.09925897990348)	(35, 37.95261749685709)	(36, 37.947969278115266)	(37, 37.901575425768215)	(38, 37.80276377622484)	(39, 37.75871285076384)	(40, 37.687423133375624)	(41, 37.57303818629574)	(42, 37.47979457123463)	(43, 37.166452328994126)
AZ_B12	(1, 32.82679953721338)	(2, 33.058101721110866)	(3, 33.18307463036178)	(4, 36.483528277269166)	(5, 36.428976538864006)	(6, 36.47262821859991)	(7, 36.40612672340947)	(8, 36.40966028747937)	(9, 38.17787074374231)	(10, 38.15541798563041)	(11, 38.1877569516504)	(12, 38.126942050972204)	(13, 38.141398933445416)	(14, 39.597764766921046)	(15, 39.58144053826856)	(16, 39.50189799429945)	(17, 39.43129211380085)	(18, 39.32722614810047)	(19, 39.35036137417414)	(20, 39.564708032872296)	(21, 39.56889587957916)	(22, 39.586550565019984)	(23, 39.51973109558273)	(24, 39.48452215202343)	(25, 39.45852160035727)	(26, 39.317924990915024)	(27, 39.235127999684764)	(28, 39.19455235136756)	(29, 39.08902129606522)	(30, 39.00175843589508)	(31, 38.87393661968748)	(32, 38.791903095022306)	(33, 38.71525871391731)	(34, 38.64545296827044)	(35, 38.515001707538126)	(36, 38.501340307969826)	(37, 38.46004360789671)	(38, 38.36540713838502)	(39, 38.31113615865218)	(40, 38.25087839701575)	(41, 38.149517675208735)	(42, 38.05987849114926)	(43, 37.76688136769425)
AZ_B2	(1, 32.7841647198628)	(2, 33.02299906823491)	(3, 33.155670263189876)	(4, 36.45527392543178)	(5, 36.40283648197912)	(6, 36.4504989669561)	(7, 36.3790643187987)	(8, 36.38451649494281)	(9, 38.146925175212345)	(10, 38.11431542273777)	(11, 38.15467097889349)	(12, 38.0870977543111)	(13, 38.10534954694611)	(14, 39.54474903109935)	(15, 39.52864569970156)	(16, 39.442809879410696)	(17, 39.37708533077661)	(18, 39.268632600974975)	(19, 39.293577572819466)	(20, 39.50734473957841)	(21, 39.51635922920071)	(22, 39.52971993032018)	(23, 39.46086113999433)	(24, 39.4233609711963)	(25, 39.39480709761927)	(26, 39.24952871591968)	(27, 39.16013598368736)	(28, 39.11388870133553)	(29, 38.99632087828987)	(30, 38.90175144828704)	(31, 38.7730254007265)	(32, 38.68734487461683)	(33, 38.60535629886703)	(34, 38.528025198168876)	(35, 38.388665550349074)	(36, 38.37971722955181)	(37, 38.32817103966078)	(38, 38.230573373124656)	(39, 38.172337379984604)	(40, 38.111557263041334)	(41, 38.00483572576398)	(42, 37.90348939273223)	(43, 37.6003612277693)
AZ_B3	(1, 32.851826349594575)	(2, 33.07774971889521)	(3, 33.201913802018424)	(4, 36.48731389091795)	(5, 36.43807897543513)	(6, 36.48314105607279)	(7, 36.41729925143835)	(8, 36.42192371142126)	(9, 38.19556556383163)	(10, 38.176646768666416)	(11, 38.2058639560807)	(12, 38.14654252986968)	(13, 38.156627096730716)	(14, 39.62284419731893)	(15, 39.61403394337645)	(16, 39.535593719667574)	(17, 39.46400800354907)	(18, 39.35812469519083)	(19, 39.38772612034784)	(20, 39.60744704149897)	(21, 39.61543611955734)	(22, 39.63666962854426)	(23, 39.574385100819754)	(24, 39.5451910238262)	(25, 39.519484892480385)	(26, 39.38758335410392)	(27, 39.31256692842638)	(28, 39.28142898426893)	(29, 39.18269241153136)	(30, 39.10494010081327)	(31, 38.9832922457411)	(32, 38.902176828844226)	(33, 38.83421836885355)	(34, 38.767761438254354)	(35, 38.64106600811327)	(36, 38.63218253517427)	(37, 38.59231576350999)	(38, 38.5011356503942)	(39, 38.46095397224935)	(40, 38.406685736723496)	(41, 38.306370743848845)	(42, 38.220910567855434)	(43, 37.92929809548534)
